GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	GTEX.11DXX.2326.SM.5Q5A2_Adipose.Subcutaneous	GTEX.11DZ1.0226.SM.5A5KF_Adipose.Subcutaneous	GTEX.11EI6.0226.SM.5EQ64_Adipose.Subcutaneous	GTEX.11EM3.2326.SM.5H12B_Adipose.Subcutaneous	GTEX.11EMC.2826.SM.5PNY6_Adipose.Subcutaneous	GTEX.11EQ8.0226.SM.5EQ5G_Adipose.Subcutaneous	GTEX.11EQ9.2526.SM.5HL66_Adipose.Subcutaneous	GTEX.11GS4.2626.SM.5A5LD_Adipose.Subcutaneous	GTEX.11GSO.2326.SM.5A5LX_Adipose.Subcutaneous	GTEX.11H98.0226.SM.5NQ89_Adipose.Subcutaneous	GTEX.11I78.2626.SM.5Q5AI_Adipose.Subcutaneous	GTEX.11LCK.1126.SM.5A5KC_Adipose.Subcutaneous	GTEX.11O72.0226.SM.59869_Adipose.Subcutaneous	GTEX.11OF3.2426.SM.5Q5AS_Adipose.Subcutaneous	GTEX.11ONC.2526.SM.5986W_Adipose.Subcutaneous	GTEX.11P7K.2026.SM.5GU74_Adipose.Subcutaneous	GTEX.11P81.2426.SM.5GU65_Adipose.Subcutaneous	GTEX.11P82.1726.SM.5Q5AT_Adipose.Subcutaneous	GTEX.11PRG.0626.SM.5BC56_Adipose.Subcutaneous	
AAR2	3.71	3.71	3.91	3.91	3.71	3.91	3.72	3.71	3.91	3.36	3.71	3.91	3.6	3.71	3.91	3.83	3.71	3.91	3.71	3.71	3.91	3.84	3.71	3.91	3.74	3.71	3.91	3.47	3.71
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	4.27	4.27	5.16	5.16	4.27	5.16	4.51	4.27	5.16	4.46	4.27	5.16	4.66	4.27	5.16	4.64	4.27	5.16	4.63	4.27	5.16	4.7	4.27	5.16	4.65	4.27	5.16	4.77	4.27
AARS2	1.54	1.54	1.68	1.68	1.54	1.68	2.04	1.54	1.68	1.64	1.54	1.68	1.08	1.54	1.68	1.17	1.54	1.68	1.23	1.54	1.68	1.66	1.54	1.68	1.81	1.54	1.68	1.7	1.54
AARSD1	2.5	2.5	2.55	2.55	2.5	2.55	2.9	2.5	2.55	2.37	2.5	2.55	2.32	2.5	2.55	2.24	2.5	2.55	2.27	2.5	2.55	2.46	2.5	2.55	2.62	2.5	2.55	2.62	2.5
AASDH	1.2	1.2	1.65	1.65	1.2	1.65	1.95	1.2	1.65	1.21	1.2	1.65	1.46	1.2	1.65	1.24	1.2	1.65	1.16	1.2	1.65	1.69	1.2	1.65	1.04	1.2	1.65	1.54	1.2
AASDHPPT	1.8	1.8	1.94	1.94	1.8	1.94	2.11	1.8	1.94	1.62	1.8	1.94	1.91	1.8	1.94	1.96	1.8	1.94	1.67	1.8	1.94	1.82	1.8	1.94	1.87	1.8	1.94	1.4	1.8
AASS	3.77	3.77	3.16	3.16	3.77	3.16	2.54	3.77	3.16	1.99	3.77	3.16	4.09	3.77	3.16	3.83	3.77	3.16	3.48	3.77	3.16	2.62	3.77	3.16	5.05	3.77	3.16	2.55	3.77
AATF	3.64	3.64	3.45	3.45	3.64	3.45	3.24	3.64	3.45	3.03	3.64	3.45	3.15	3.64	3.45	3.25	3.64	3.45	3.12	3.64	3.45	3.08	3.64	3.45	3.49	3.64	3.45	2.95	3.64
AATK	0	0	1.07	1.07	0	1.07	0	0	1.07	0.42	0	1.07	0.48	0	1.07	0.35	0	1.07	0.71	0	1.07	1.72	0	1.07	1.49	0	1.07	1.87	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	1.03	1.03	0.74	0.74	1.03	0.74	0	1.03	0.74	0.58	1.03	0.74	0.81	1.03	0.74	0.53	1.03	0.74	0.06	1.03	0.74	0.1	1.03	0.74	0.93	1.03	0.74	0	1.03
ABCA1	4.52	4.52	2.96	2.96	4.52	2.96	2.96	4.52	2.96	2.74	4.52	2.96	4.59	4.52	2.96	4.67	4.52	2.96	3.91	4.52	2.96	2.72	4.52	2.96	4.58	4.52	2.96	2.86	4.52
ABCA10	1.06	1.06	1.17	1.17	1.06	1.17	4.04	1.06	1.17	2.89	1.06	1.17	1.82	1.06	1.17	2.08	1.06	1.17	1.85	1.06	1.17	3.71	1.06	1.17	1.41	1.06	1.17	3.14	1.06
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	3	3	2.91	2.91	3	2.91	2.48	3	2.91	3.09	3	2.91	2.85	3	2.91	2.75	3	2.91	2.61	3	2.91	3.49	3	2.91	2.82	3	2.91	3.06	3
ABCA3	1.72	1.72	1.65	1.65	1.72	1.65	1.91	1.72	1.65	1.1	1.72	1.65	1.9	1.72	1.65	2.36	1.72	1.65	1.97	1.72	1.65	1.85	1.72	1.65	2.22	1.72	1.65	1.94	1.72
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	2.75	2.75	2.05	2.05	2.75	2.05	2.21	2.75	2.05	2.05	2.75	2.05	2.76	2.75	2.05	2.98	2.75	2.05	2.93	2.75	2.05	1.93	2.75	2.05	2.59	2.75	2.05	1.63	2.75
ABCA6	3.46	3.46	2.43	2.43	3.46	2.43	3.64	3.46	2.43	2.78	3.46	2.43	3.32	3.46	2.43	3.51	3.46	2.43	3.12	3.46	2.43	3.22	3.46	2.43	3.61	3.46	2.43	1.82	3.46
ABCA7	0.78	0.78	1.54	1.54	0.78	1.54	1.16	0.78	1.54	2.07	0.78	1.54	1.78	0.78	1.54	1.69	0.78	1.54	1.88	0.78	1.54	1.12	0.78	1.54	1.54	0.78	1.54	0.26	0.78
ABCA8	1.85	1.85	3.27	3.27	1.85	3.27	4.87	1.85	3.27	3.09	1.85	3.27	2.43	1.85	3.27	2.63	1.85	3.27	3.15	1.85	3.27	4.42	1.85	3.27	2.7	1.85	3.27	4.04	1.85
ABCA9	5.68	5.68	4.3	4.3	5.68	4.3	4.56	5.68	4.3	3.77	5.68	4.3	3.12	5.68	4.3	3.89	5.68	4.3	4.21	5.68	4.3	4.02	5.68	4.3	3.85	5.68	4.3	3.99	5.68
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0.81	0	0	0	0	0	0.64	0	0	0.19	0	0	0	0	0	0.07	0	0	0.37	0	0	0.17	0
ABCB10	2.43	2.43	2.3	2.3	2.43	2.3	2.73	2.43	2.3	2.51	2.43	2.3	2.34	2.43	2.3	2.58	2.43	2.3	2.5	2.43	2.3	2.11	2.43	2.3	2.33	2.43	2.3	2.63	2.43
ABCB11	0	0	0	0	0	0	0.17	0	0	0.55	0	0	2.21	0	0	0.97	0	0	0	0	0	0	0	0	1.31	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0.57	0.57	0	0	0.57	0	0	0.57	0	0	0.57	0	0	0.57	0	0	0.57	0	0	0.57	0	0.49	0.57	0	0.27	0.57	0	0	0.57
ABCB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB7	3.32	3.32	2.97	2.97	3.32	2.97	3.18	3.32	2.97	3.08	3.32	2.97	2.91	3.32	2.97	2.97	3.32	2.97	2.94	3.32	2.97	2.84	3.32	2.97	3.13	3.32	2.97	2.95	3.32
ABCB8	0.45	0.45	1.65	1.65	0.45	1.65	1.43	0.45	1.65	1.66	0.45	1.65	1.07	0.45	1.65	1.51	0.45	1.65	1.22	0.45	1.65	1.26	0.45	1.65	1.24	0.45	1.65	1.34	0.45
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
ABCC1	3.04	3.04	3.3	3.3	3.04	3.3	2.76	3.04	3.3	2.65	3.04	3.3	3.02	3.04	3.3	2.72	3.04	3.3	2.65	3.04	3.3	2.54	3.04	3.3	2.51	3.04	3.3	2.94	3.04
ABCC10	1.49	1.49	1.79	1.79	1.49	1.79	1.68	1.49	1.79	1.88	1.49	1.79	1.39	1.49	1.79	1.45	1.49	1.79	1.28	1.49	1.79	1.55	1.49	1.79	1.34	1.49	1.79	1.37	1.49
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0.24	0.24	0.75	0.75	0.24	0.75	0.64	0.24	0.75	0.26	0.24	0.75	0	0.24	0.75	0	0.24	0.75	0	0.24	0.75	0.79	0.24	0.75	0	0.24	0.75	0	0.24
ABCC3	1.6	1.6	2.01	2.01	1.6	2.01	0.37	1.6	2.01	3.59	1.6	2.01	1.98	1.6	2.01	1.79	1.6	2.01	1.32	1.6	2.01	0	1.6	2.01	0	1.6	2.01	0	1.6
ABCC4	0.86	0.86	0	0	0.86	0	0.24	0.86	0	0.09	0.86	0	0.06	0.86	0	0	0.86	0	0	0.86	0	0	0.86	0	0	0.86	0	0.33	0.86
ABCC5	0.54	0.54	2.49	2.49	0.54	2.49	2.96	0.54	2.49	3	0.54	2.49	2.01	0.54	2.49	2.32	0.54	2.49	1.72	0.54	2.49	3.12	0.54	2.49	2.61	0.54	2.49	1.96	0.54
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	1.06	1.06	2.73	2.73	1.06	2.73	3.28	1.06	2.73	1.65	1.06	2.73	2.39	1.06	2.73	2.55	1.06	2.73	2.61	1.06	2.73	2.42	1.06	2.73	2.82	1.06	2.73	2.71	1.06
ABCD1	2.64	2.64	3.09	3.09	2.64	3.09	2.3	2.64	3.09	3.16	2.64	3.09	3.3	2.64	3.09	3.45	2.64	3.09	3.79	2.64	3.09	2.87	2.64	3.09	3.94	2.64	3.09	2.28	2.64
ABCD2	0	0	2.15	2.15	0	2.15	0	0	2.15	0.16	0	2.15	2.72	0	2.15	2.06	0	2.15	2.34	0	2.15	0.39	0	2.15	1.63	0	2.15	0.85	0
ABCD3	2.47	2.47	2.31	2.31	2.47	2.31	2.4	2.47	2.31	2.3	2.47	2.31	2.37	2.47	2.31	2.52	2.47	2.31	2.37	2.47	2.31	2.11	2.47	2.31	2.15	2.47	2.31	2.29	2.47
ABCD4	2.53	2.53	2.53	2.53	2.53	2.53	2.91	2.53	2.53	2.58	2.53	2.53	2.57	2.53	2.53	2.37	2.53	2.53	2.52	2.53	2.53	2.72	2.53	2.53	2.31	2.53	2.53	2.49	2.53
ABCE1	2.92	2.92	3.04	3.04	2.92	3.04	2.76	2.92	3.04	2.56	2.92	3.04	2.85	2.92	3.04	2.8	2.92	3.04	3.05	2.92	3.04	2.34	2.92	3.04	2.78	2.92	3.04	2.79	2.92
ABCF1	3.87	3.87	4.56	4.56	3.87	4.56	3.88	3.87	4.56	4.01	3.87	4.56	3.95	3.87	4.56	4.15	3.87	4.56	4.15	3.87	4.56	3.78	3.87	4.56	4.23	3.87	4.56	3.94	3.87
ABCF2	3.44	3.44	3.8	3.8	3.44	3.8	3.15	3.44	3.8	2.99	3.44	3.8	3.4	3.44	3.8	3.23	3.44	3.8	3.59	3.44	3.8	3	3.44	3.8	3.23	3.44	3.8	3.16	3.44
ABCF3	3.25	3.25	3.51	3.51	3.25	3.51	3.17	3.25	3.51	3.07	3.25	3.51	3.08	3.25	3.51	3.47	3.25	3.51	3.09	3.25	3.51	3.02	3.25	3.51	3.64	3.25	3.51	2.72	3.25
ABCG1	2.69	2.69	2.36	2.36	2.69	2.36	2.5	2.69	2.36	1.56	2.69	2.36	2.26	2.69	2.36	1.76	2.69	2.36	2.58	2.69	2.36	1.69	2.69	2.36	2.22	2.69	2.36	2.6	2.69
ABCG2	0	0	0	0	0	0	0.93	0	0	0.2	0	0	1.69	0	0	1.37	0	0	0.25	0	0	1.27	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	2.09	2.09	2.72	2.72	2.09	2.72	3.07	2.09	2.72	2.62	2.09	2.72	2.2	2.09	2.72	2.65	2.09	2.72	2.12	2.09	2.72	2.76	2.09	2.72	2.62	2.09	2.72	2.56	2.09
ABHD11	2.77	2.77	2.67	2.67	2.77	2.67	2.65	2.77	2.67	2.64	2.77	2.67	2.15	2.77	2.67	2.05	2.77	2.67	1.92	2.77	2.67	2.16	2.77	2.67	2.34	2.77	2.67	2.09	2.77
ABHD12	4.38	4.38	4.15	4.15	4.38	4.15	3.47	4.38	4.15	4.58	4.38	4.15	3.6	4.38	4.15	3.67	4.38	4.15	3.56	4.38	4.15	3.67	4.38	4.15	4.2	4.38	4.15	3.41	4.38
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	1.47	1.47	1.51	1.51	1.47	1.51	1.93	1.47	1.51	1.76	1.47	1.51	1.72	1.47	1.51	1.79	1.47	1.51	1.78	1.47	1.51	1.69	1.47	1.51	1.49	1.47	1.51	1.53	1.47
ABHD14A	1.43	1.43	2.71	2.71	1.43	2.71	2.71	1.43	2.71	2.51	1.43	2.71	2.11	1.43	2.71	1.9	1.43	2.71	2.29	1.43	2.71	2.9	1.43	2.71	2.59	1.43	2.71	2.32	1.43
ABHD14B	4.26	4.26	4.75	4.75	4.26	4.75	4.57	4.26	4.75	4.25	4.26	4.75	4.61	4.26	4.75	4.51	4.26	4.75	4.58	4.26	4.75	4.86	4.26	4.75	4.87	4.26	4.75	4.12	4.26
ABHD15	2.07	2.07	3.23	3.23	2.07	3.23	1.74	2.07	3.23	2.73	2.07	3.23	3.32	2.07	3.23	4.03	2.07	3.23	4.01	2.07	3.23	2.58	2.07	3.23	3.67	2.07	3.23	2.29	2.07
ABHD16A	2.69	2.69	3.32	3.32	2.69	3.32	3.2	2.69	3.32	3.35	2.69	3.32	2.67	2.69	3.32	2.7	2.69	3.32	3.01	2.69	3.32	3.16	2.69	3.32	3.02	2.69	3.32	2.7	2.69
ABHD16B	1.14	1.14	1.64	1.64	1.14	1.64	0.79	1.14	1.64	2.33	1.14	1.64	0.87	1.14	1.64	0.97	1.14	1.64	1.48	1.14	1.64	1.48	1.14	1.64	0.99	1.14	1.64	0.87	1.14
ABHD17A	3.73	3.73	3.91	3.91	3.73	3.91	3.38	3.73	3.91	3.88	3.73	3.91	3.54	3.73	3.91	3.18	3.73	3.91	3.2	3.73	3.91	3.93	3.73	3.91	3.46	3.73	3.91	3.98	3.73
ABHD17B	2.89	2.89	1.92	1.92	2.89	1.92	2.26	2.89	1.92	1.95	2.89	1.92	2.16	2.89	1.92	2.26	2.89	1.92	2.09	2.89	1.92	2.01	2.89	1.92	2.13	2.89	1.92	2.09	2.89
ABHD17C	1.36	1.36	0.22	0.22	1.36	0.22	0	1.36	0.22	0.74	1.36	0.22	0	1.36	0.22	0	1.36	0.22	0	1.36	0.22	0.53	1.36	0.22	0	1.36	0.22	0.2	1.36
ABHD2	3.76	3.76	2.83	2.83	3.76	2.83	3.24	3.76	2.83	3.61	3.76	2.83	3.2	3.76	2.83	2.98	3.76	2.83	3.18	3.76	2.83	3.17	3.76	2.83	2.91	3.76	2.83	3.05	3.76
ABHD3	0.94	0.94	1.99	1.99	0.94	1.99	1.24	0.94	1.99	1.91	0.94	1.99	1.6	0.94	1.99	1.85	0.94	1.99	1.91	0.94	1.99	1.78	0.94	1.99	2.1	0.94	1.99	0.83	0.94
ABHD4	4.66	4.66	4.17	4.17	4.66	4.17	4.48	4.66	4.17	4.38	4.66	4.17	3.74	4.66	4.17	4.4	4.66	4.17	3.8	4.66	4.17	4.44	4.66	4.17	3.92	4.66	4.17	3.65	4.66
ABHD5	3.23	3.23	3.23	3.23	3.23	3.23	1.42	3.23	3.23	2.31	3.23	3.23	3.89	3.23	3.23	4.66	3.23	3.23	4.28	3.23	3.23	2.01	3.23	3.23	5.72	3.23	3.23	1.44	3.23
ABHD6	1.48	1.48	2.46	2.46	1.48	2.46	2.17	1.48	2.46	2.07	1.48	2.46	3.1	1.48	2.46	3.15	1.48	2.46	2.47	1.48	2.46	1.57	1.48	2.46	3.34	1.48	2.46	1.47	1.48
ABHD8	2.37	2.37	2.35	2.35	2.37	2.35	2.11	2.37	2.35	2.65	2.37	2.35	1.38	2.37	2.35	1.73	2.37	2.35	1.61	2.37	2.35	2.55	2.37	2.35	2.37	2.37	2.35	1.98	2.37
ABI1	4.28	4.28	3.98	3.98	4.28	3.98	4.36	4.28	3.98	4.54	4.28	3.98	4.02	4.28	3.98	4.06	4.28	3.98	3.91	4.28	3.98	3.95	4.28	3.98	3.71	4.28	3.98	4.01	4.28
ABI2	0.86	0.86	0.36	0.36	0.86	0.36	1.36	0.86	0.36	0.96	0.86	0.36	0.6	0.86	0.36	0.49	0.86	0.36	0.58	0.86	0.36	1.09	0.86	0.36	0.32	0.86	0.36	1.51	0.86
ABI3	1.28	1.28	2.26	2.26	1.28	2.26	2.48	1.28	2.26	3.36	1.28	2.26	1.76	1.28	2.26	1.39	1.28	2.26	0.92	1.28	2.26	2.02	1.28	2.26	1.04	1.28	2.26	1.95	1.28
ABI3BP	4.02	4.02	3.35	3.35	4.02	3.35	4.04	4.02	3.35	4.24	4.02	3.35	2.49	4.02	3.35	1.85	4.02	3.35	2.29	4.02	3.35	4.56	4.02	3.35	3.2	4.02	3.35	4.3	4.02
ABL1	5.82	5.82	5.06	5.06	5.82	5.06	4.85	5.82	5.06	4.83	5.82	5.06	4.77	5.82	5.06	4.61	5.82	5.06	5.14	5.82	5.06	4.87	5.82	5.06	4.57	5.82	5.06	4.99	5.82
ABL2	2.39	2.39	2.46	2.46	2.39	2.46	2	2.39	2.46	2.26	2.39	2.46	1.95	2.39	2.46	2.19	2.39	2.46	2.68	2.39	2.46	2.61	2.39	2.46	2.09	2.39	2.46	1.56	2.39
ABLIM1	4.84	4.84	4.99	4.99	4.84	4.99	5.17	4.84	4.99	3.9	4.84	4.99	5.67	4.84	4.99	5.66	4.84	4.99	6.02	4.84	4.99	4.63	4.84	4.99	5.3	4.84	4.99	4.7	4.84
ABLIM2	1.02	1.02	2.31	2.31	1.02	2.31	0.82	1.02	2.31	0.18	1.02	2.31	2.41	1.02	2.31	2.25	1.02	2.31	1.85	1.02	2.31	0.05	1.02	2.31	2.67	1.02	2.31	1.09	1.02
ABLIM3	4.05	4.05	4.58	4.58	4.05	4.58	4.12	4.05	4.58	3.43	4.05	4.58	5.81	4.05	4.58	5.7	4.05	4.58	5.57	4.05	4.58	3.8	4.05	4.58	5.75	4.05	4.58	5.72	4.05
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	3.9	3.9	3.75	3.75	3.9	3.75	3.68	3.9	3.75	3.89	3.9	3.75	3.42	3.9	3.75	3.36	3.9	3.75	2.93	3.9	3.75	3.69	3.9	3.75	3.78	3.9	3.75	3.45	3.9
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
