GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
AC013463.2	A	A	A	A	A	A	A	A	A	A
AC013733.4	A	A	A	A	A	A	A	A	A	A
AC016831.7	A	A	A	A	A	A	A	A	A	A
AC016999.2	A	A	A	A	A	A	A	A	A	A
AC017002.2	A	A	A	A	A	A	P	A	A	A
AC017104.6	A	A	A	A	A	A	A	A	A	A
AC018462.2	A	P	A	A	A	A	P	P	P	P
AC018755.16	A	A	A	A	P	M	A	A	A	A
AC018755.17	A	A	A	A	A	A	A	A	A	A
AC018766.6	A	A	A	A	A	A	A	A	A	A
AC018816.3	A	A	A	A	A	A	A	A	A	A
AC024560.2	P	M	A	A	A	A	A	A	P	P
AC025442.3	A	A	A	A	A	A	A	A	A	A
AC064852.4	A	A	A	A	A	A	A	A	A	A
AC067956.1	A	A	A	A	A	A	A	A	A	P
AC068039.4	A	A	A	A	A	A	P	A	P	A
AC068138.1	A	A	A	A	A	A	A	A	A	A
AC068831.3	A	A	A	A	A	A	A	A	A	A
AC069277.2	A	A	P	P	A	A	A	A	A	A
AC073283.7	A	P	A	A	A	A	P	A	P	A
AC073321.4	A	A	A	A	A	A	A	A	A	A
AC074212.6	A	A	A	A	A	A	A	A	A	A
AC078842.4	A	A	A	A	A	A	A	A	A	A
AC078883.3	A	A	A	A	A	A	A	A	A	A
AC079305.10	A	A	A	P	P	P	P	P	P	P
AC079741.2	A	A	A	A	A	A	P	A	A	A
AC079767.4	A	P	P	A	A	P	P	M	P	M
AC079807.4	A	A	A	A	A	A	A	A	A	A
AC083843.1	A	A	A	A	A	M	P	P	P	A
AC083949.1	A	P	A	A	A	A	P	A	M	A
AC084219.3	A	A	A	A	A	A	A	A	A	A
AC087501.1	A	A	A	A	A	A	A	A	A	A
AC090627.1	A	A	A	A	A	A	A	A	A	A
AC091133.1	A	A	A	A	P	P	P	P	P	P
AC091633.3	P	A	A	A	A	A	A	A	A	A
AC092155.4	A	A	A	A	A	A	A	A	A	A
AC092192.1	P	P	A	A	A	A	A	A	A	A
AC092620.2	P	P	P	P	P	P	P	P	P	P
AC092660.1	A	A	A	A	A	A	A	A	A	A
AC092667.2	A	A	A	A	A	A	A	A	A	A
AC099684.1	A	P	A	A	A	A	A	P	A	A
AC099850.1	M	A	A	A	P	P	A	A	A	A
AC100830.4	A	A	A	A	A	A	A	A	A	A
AC104537.2	A	A	A	A	A	A	A	A	A	A
AC104667.3	A	A	A	A	A	A	A	A	A	A
AC106801.1	A	A	A	A	A	A	A	A	A	A
AC108056.1	A	A	A	A	A	A	A	A	A	A
AC112198.1	A	A	A	A	A	A	A	A	A	A
AC114730.11	A	A	A	A	A	A	A	A	A	A
AC114752.3	A	A	A	A	A	A	A	A	A	A
AC124997.1	A	A	A	A	A	A	A	A	A	A
AC128677.4	P	P	A	P	P	P	P	P	P	A
AC136289.1	A	A	P	A	A	A	P	A	A	A
AC139100.2	A	A	A	A	A	A	A	A	A	A
AC139100.3	A	A	A	A	A	A	A	A	A	A
AC141928.1	A	A	A	A	A	A	A	A	A	A
AC144652.1	A	A	A	A	A	A	A	A	A	A
AC145343.2	A	A	A	A	A	P	A	A	A	P
ACAA1	P	P	P	P	P	P	P	P	P	P
ACAA2	P	P	P	P	P	P	P	P	P	P
ACACA	P	P	P	A	P	P	A	P	P	A
ACACB	P	A	M	A	P	A	P	P	P	P
ACAD10	P	A	A	A	P	A	A	P	P	A
ACAD11	P	P	P	P	P	P	P	P	P	P
ACAD8	P	P	P	P	P	P	P	P	P	P
ACAD9	P	P	P	P	P	P	P	P	P	P
ACADL	A	A	A	P	A	A	A	A	A	A
ACADM	P	P	P	P	P	P	P	P	P	P
ACADS	A	M	A	A	M	A	A	P	P	A
ACADSB	P	P	P	P	P	P	P	P	P	P
ACADVL	P	P	P	P	P	P	P	P	P	P
ACAN	A	A	A	A	A	A	A	A	A	A
ACAP1	P	P	P	P	P	P	P	P	P	P
ACAP2	P	P	P	P	P	P	P	P	P	P
ACAP3	P	P	M	A	P	P	P	P	P	P
ACAT1	P	P	P	P	P	P	P	P	P	P
ACAT2	P	P	P	P	P	P	P	P	P	P
ACBD3	P	P	P	P	P	P	P	P	P	P
ACBD4	A	A	A	A	A	A	A	P	P	A
ACBD5	P	P	P	P	P	P	P	P	P	P
ACBD6	P	P	P	P	P	P	P	P	P	P
ACCS	P	P	A	A	A	P	A	P	A	P
ACD	P	P	P	A	P	P	P	P	P	P
ACE	A	A	A	A	A	A	A	A	A	A
ACE2	A	A	A	A	A	A	A	P	A	A
ACER1	A	A	A	A	A	A	A	A	A	A
ACER3	P	P	P	P	P	P	P	P	P	P
ACHE	M	A	A	A	A	A	A	A	A	A
ACIN1	P	P	P	P	P	P	P	P	P	P
ACKR1	A	A	A	A	A	A	A	A	A	A
ACKR2	A	A	A	A	P	A	A	A	A	A
ACKR3	P	P	P	P	A	A	P	P	P	P
ACKR4	P	P	A	A	A	P	A	P	A	A
ACLY	P	P	P	P	P	P	P	P	P	P
ACMSD	A	A	A	A	A	A	A	A	A	A
ACN9	P	P	P	A	P	P	P	M	P	A
ACO1	P	P	A	A	P	P	P	P	P	P
ACO2	P	P	P	P	P	P	A	P	P	P
ACOT1	P	P	P	A	P	P	P	P	P	A
ACOT11	A	A	A	A	A	A	A	A	A	A
ACOT12	A	A	A	P	A	A	A	A	A	A
ACOT13	P	P	P	P	P	P	P	P	P	P
ACOT4	P	A	A	P	P	A	A	A	P	A
ACOT6	A	A	A	A	A	A	A	A	A	A
ACOT7	P	P	P	A	P	P	P	P	P	P
ACOT8	P	P	P	P	P	P	P	P	P	P
ACOT9	P	P	A	P	P	P	P	P	P	P
ACOX1	P	P	P	M	P	P	P	P	P	P
ACOX2	A	A	A	A	A	A	A	A	A	A
ACOX3	A	A	P	P	P	P	A	P	P	P
ACOXL	A	A	A	A	A	A	P	A	A	A
ACP1	P	P	P	P	P	P	P	P	P	P
ACP2	P	P	A	P	P	P	P	P	P	A
ACP5	A	P	P	P	P	P	P	A	A	A
ACP6	P	P	P	P	P	P	P	P	A	A
ACPP	A	P	P	P	P	P	P	P	A	P
ACPT	A	P	A	P	A	A	A	A	P	A
ACR	A	A	A	A	A	A	A	A	A	A
ACRBP	P	P	M	P	A	P	P	P	P	P
ACRC	A	P	P	A	M	P	P	P	P	A
ACRV1	M	P	P	P	A	P	P	P	A	P
ACSBG1	A	A	A	A	A	A	A	A	A	A
ACSBG2	A	A	A	A	A	A	A	A	A	A
ACSF2	P	A	P	A	A	M	A	P	P	M
ACSF3	P	P	A	A	P	P	P	P	P	P
ACSL1	P	P	P	P	P	P	P	P	P	P
ACSL3	P	P	P	P	P	P	P	P	P	P
ACSL4	P	P	P	A	P	P	P	P	P	P
ACSL5	P	P	P	P	P	P	P	P	P	P
ACSL6	P	P	A	P	P	P	P	P	P	P
ACSM1	A	A	A	A	A	A	A	A	A	A
ACSM2A	A	A	A	A	A	A	A	A	A	A
ACSM2B	A	A	A	A	A	A	A	A	A	A
ACSM3	P	P	A	P	P	A	P	P	P	A
ACSM5	A	A	A	A	A	A	A	A	A	A
ACSS1	P	P	P	A	P	P	P	P	P	P
ACSS2	P	P	A	A	P	P	P	P	P	P
ACSS3	A	A	A	A	A	A	A	A	A	A
ACTA1	A	A	A	A	A	A	A	A	A	A
ACTA2	M	P	P	P	P	P	P	P	P	P
ACTA2-AS1	A	A	A	A	A	A	A	A	P	A
ACTB	P	P	P	P	P	P	P	P	P	P
ACTBP9	A	A	A	A	A	A	A	A	A	A
ACTC1	A	P	A	A	A	A	P	A	P	P
ACTG1P4	P	P	P	A	P	P	P	P	P	P
ACTG2	P	A	P	A	A	A	A	A	P	A
ACTL10	A	A	A	A	A	A	A	P	A	A
ACTL6A	P	P	P	P	P	P	P	P	P	P
ACTL6B	A	A	A	A	A	A	A	A	A	A
ACTL7A	A	A	A	A	A	A	A	A	A	A
ACTL7B	A	A	A	A	A	A	A	A	A	A
ACTL8	A	P	A	A	A	A	A	A	A	A
ACTL9	A	A	A	A	A	A	A	A	A	A
ACTN1	A	P	P	P	P	P	P	P	P	P
ACTN2	A	A	A	P	A	A	P	P	A	A
ACTN3	A	A	A	A	A	A	P	A	A	A
ACTN4	P	P	P	P	P	P	P	P	P	P
ACTR10	P	P	P	P	P	P	P	P	P	P
ACTR1A	P	P	P	P	P	P	P	P	P	P
ACTR1B	P	P	P	P	P	P	P	P	P	P
ACTR2	P	P	P	P	P	P	P	P	P	P
ACTR3	P	P	P	P	P	P	P	P	P	P
ACTR3B	P	A	A	A	P	P	A	P	P	P
ACTR3BP2	A	P	A	A	A	A	P	P	A	M
ACTR3C	P	A	A	A	A	P	A	A	A	A
ACTR3P2	A	A	A	A	P	P	P	A	A	A
ACTR5	P	P	P	A	P	P	P	P	P	P
ACTR6	P	P	P	A	P	P	P	P	P	P
ACTR8	P	P	A	P	P	P	P	P	P	P
ACTRT2	A	A	A	A	A	A	A	A	A	A
ACTRT3	A	A	A	A	A	A	A	A	A	P
ACVR1	M	P	P	A	P	P	P	P	P	P
ACVR1B	P	P	A	P	P	P	P	P	P	P
ACVR1C	A	A	A	A	A	A	M	A	A	A
ACVR2A	P	A	A	P	P	A	P	A	P	A
ACVR2B	P	M	A	A	P	P	P	A	A	A
ACVR2B-AS1	A	A	A	A	A	A	A	A	A	A
ACVRL1	A	A	A	A	A	A	A	A	A	A
ACY1	A	A	A	A	A	A	A	A	A	A
ACY3	P	P	P	A	A	P	P	A	P	A
ACYP1	P	P	P	A	P	P	P	P	P	P
ACYP2	P	P	P	A	P	P	P	P	P	P
ADA	P	P	P	P	P	P	P	P	P	P
ADAD1	A	P	M	A	P	A	P	P	A	P
ADAD2	A	A	A	A	A	A	A	A	A	A
ADAL	P	P	P	A	P	P	P	P	P	P
ADAM10	P	P	P	P	P	P	P	P	P	P
ADAM11	P	A	A	P	A	A	A	A	P	A
ADAM12	P	A	A	A	P	A	A	A	P	A
ADAM15	A	A	A	A	P	M	A	A	A	P
ADAM17	P	P	P	P	P	P	P	P	P	P
ADAM18	M	A	A	A	A	A	P	A	A	A
ADAM19	P	P	P	P	P	P	P	P	P	A
ADAM1A	P	P	P	A	P	P	P	P	P	P
ADAM2	A	A	A	A	A	A	A	A	A	A
ADAM20	A	A	A	A	A	P	A	A	A	P
ADAM21	A	A	A	A	A	M	P	A	A	A
ADAM22	A	P	A	A	P	A	A	M	P	P
ADAM23	P	P	A	A	P	A	A	A	A	A
ADAM28	A	P	A	A	P	P	P	A	P	A
ADAM29	A	A	A	A	A	A	A	A	A	A
ADAM30	A	A	A	A	A	A	A	A	A	A
ADAM32	A	P	A	A	A	A	A	A	A	A
ADAM33	A	A	A	A	A	A	A	A	P	A
ADAM3A	A	A	A	A	A	A	A	A	A	A
ADAM3B	A	A	A	A	A	A	A	A	A	P
ADAM5	A	A	A	A	A	A	A	A	A	A
ADAM6	A	A	A	A	A	A	A	A	A	A
ADAM7	A	A	P	M	A	A	A	A	A	A
ADAM8	P	P	A	P	P	P	P	P	A	P
ADAM9	P	P	P	P	P	P	P	P	P	P
ADAMDEC1	A	P	A	A	A	A	A	A	A	A
ADAMTS1	A	A	A	A	A	A	A	A	A	A
ADAMTS10	A	A	A	A	A	A	P	A	A	A
ADAMTS12	A	P	A	P	A	A	A	A	P	A
ADAMTS13	A	A	A	A	A	A	A	A	A	A
ADAMTS14	A	A	A	A	A	A	A	A	A	A
ADAMTS15	A	A	A	A	A	A	A	A	A	A
ADAMTS16	A	A	A	A	A	A	A	A	A	A
ADAMTS17	A	A	A	A	A	A	A	A	P	A
ADAMTS18	P	A	A	A	A	A	A	A	P	P
ADAMTS19	A	A	A	A	A	A	P	A	A	A
ADAMTS2	A	A	A	A	A	A	A	A	A	A
ADAMTS20	A	A	A	P	A	A	A	A	P	A
ADAMTS3	A	A	A	A	A	A	A	A	A	A
ADAMTS4	P	A	A	A	A	A	A	A	A	A
ADAMTS5	A	P	P	A	M	A	A	A	A	A
ADAMTS6	P	P	A	P	P	A	A	P	P	P
ADAMTS7	A	A	A	A	A	A	A	A	A	A
ADAMTS8	A	A	A	A	A	A	A	A	A	A
ADAMTS9	A	P	A	A	P	A	A	P	A	A
ADAMTS9-AS2	A	A	A	A	A	A	A	A	A	P
ADAMTSL1	A	A	A	M	A	A	A	A	A	A
ADAMTSL2	A	A	A	A	A	A	A	A	A	A
ADAMTSL3	A	M	A	A	A	A	A	A	P	A
ADAMTSL4	A	P	A	P	A	P	A	A	A	A
ADAMTSL5	A	A	A	A	A	A	A	A	A	A
ADAP1	A	P	A	P	P	P	P	P	P	P
ADAP2	P	P	A	P	P	P	P	P	A	P
ADAR	P	P	P	P	P	P	P	P	P	P
ADARB1	P	P	A	A	P	P	P	A	P	A
ADARB2	A	P	A	A	A	A	A	P	P	A
ADARB2-AS1	A	A	A	A	P	P	M	A	P	A
ADAT1	P	P	P	P	P	P	P	P	P	P
ADAT2	P	P	P	A	P	P	P	P	P	P
ADAT3	P	P	P	A	P	P	P	P	P	P
ADCK1	P	P	P	P	P	P	P	P	P	A
ADCK2	P	P	P	P	P	P	P	P	P	P
ADCK3	P	P	P	P	P	P	P	P	P	P
ADCK4	A	A	A	A	A	A	A	M	P	P
ADCK5	P	A	A	A	P	A	A	P	P	P
ADCY1	A	A	A	P	A	A	A	P	A	A
ADCY10	A	A	A	P	A	A	P	A	A	A
ADCY10P1	A	P	P	A	P	A	P	P	P	A
ADCY2	A	M	A	A	A	A	A	A	P	A
ADCY3	P	P	P	A	P	P	P	P	P	P
ADCY4	A	A	A	A	A	A	A	A	A	A
ADCY5	A	A	A	A	A	A	A	A	A	A
ADCY6	A	A	A	A	A	A	A	P	A	P
ADCY7	P	P	P	P	P	P	P	P	P	P
ADCY8	A	A	A	A	A	A	A	A	A	A
ADCY9	P	A	A	A	P	P	A	P	P	P
ADCYAP1	A	A	A	A	A	A	A	A	A	A
ADCYAP1R1	A	A	M	P	P	A	A	P	A	A
ADD1	P	P	P	P	P	P	P	P	P	P
ADD2	P	P	P	P	A	A	P	P	P	P
ADD3	P	P	P	P	P	P	P	P	P	P
ADD3-AS1	A	P	A	A	A	P	P	A	A	M
ADGB	A	A	A	A	A	A	A	A	A	A
ADH1A	A	A	A	A	A	A	A	A	A	A
ADH1B	A	A	A	A	A	A	A	A	A	A
ADH1C	A	A	A	A	A	A	A	A	A	A
ADH4	P	P	P	A	A	A	A	P	P	M
ADH5	P	P	P	P	P	P	P	P	P	P
ADH6	A	A	A	A	A	A	A	A	A	A
ADH7	A	A	A	A	A	A	A	A	A	A
ADHFE1	A	A	P	A	A	A	P	A	P	P
ADI1	P	P	P	P	P	P	P	P	P	P
ADIG	A	A	A	A	A	A	A	A	A	A
ADIPOQ	A	P	P	P	A	P	M	A	A	A
ADIPOR1	P	P	P	P	P	P	P	P	P	P
ADIPOR2	P	P	P	P	P	P	P	P	P	P
ADIRF	A	A	A	A	A	A	A	A	A	A
ADIRF-AS1	A	A	A	A	P	A	A	P	A	A
ADK	P	P	P	A	P	P	P	P	P	P
ADM	A	P	A	P	P	P	P	P	P	P
ADM2	A	A	A	A	A	A	A	A	A	A
ADM5	A	M	A	A	A	A	A	A	A	A
ADNP	P	P	P	P	P	P	P	P	P	P
ADNP2	P	P	P	P	P	P	P	P	A	P
ADO	P	P	P	P	P	P	P	P	P	P
ADORA1	M	A	A	A	A	A	A	M	A	A
ADORA2A	P	P	P	P	P	P	P	P	P	P
ADORA2A-AS1	A	A	A	A	A	A	A	A	A	A
ADORA2B	A	A	A	A	A	A	A	A	A	A
ADORA3	A	A	A	A	A	A	P	M	A	A
ADPGK	P	P	P	P	P	P	P	P	P	P
ADPRH	P	A	P	A	P	P	P	P	P	A
ADPRHL1	A	A	A	A	A	A	A	A	A	A
ADPRHL2	P	P	P	P	P	P	P	P	P	P
ADPRM	P	P	P	P	P	P	P	P	P	P
ADRA1A	A	P	A	A	A	A	A	A	A	A
ADRA1B	A	A	A	A	A	A	A	A	A	A
ADRA1D	A	A	A	A	A	A	A	A	A	A
ADRA2A	A	A	A	A	A	A	A	A	A	A
ADRA2B	A	A	A	A	A	A	A	A	A	A
ADRA2C	A	A	A	A	A	A	A	P	A	A
ADRB1	A	A	P	A	A	A	A	P	P	A
ADRB2	P	P	P	P	P	P	P	P	P	P
ADRB3	A	A	A	A	A	A	A	A	A	A
ADRBK1	P	P	P	P	P	P	P	P	P	P
ADRBK2	P	P	P	P	P	P	P	P	P	P
ADRM1	P	P	P	P	P	P	P	P	P	P
ADSL	P	P	P	P	P	P	P	P	P	P
ADSS	P	P	P	P	P	P	P	P	P	P
ADSSL1	P	A	A	A	A	A	A	A	A	A
ADTRP	A	A	A	A	A	M	A	A	P	A
AEBP1	P	P	A	P	P	P	P	P	P	P
AEBP2	P	P	P	P	P	P	P	P	P	P
AEN	P	P	P	A	P	P	A	P	P	P
AES	P	P	P	P	P	P	P	P	P	P
AF001548.5	A	M	A	A	A	A	M	P	P	P
AF007147	A	P	M	P	A	A	P	P	P	P
AF067845.1	A	A	A	A	A	A	A	A	A	A
AF070581	A	A	A	A	A	A	A	A	A	A
AF075036	A	A	A	A	A	A	A	A	A	A
AF086102	A	A	A	A	A	A	A	A	A	A
AF086125	A	A	A	A	A	A	A	A	A	P
AF086126	P	A	A	A	A	P	P	M	P	A
AF086154	P	A	A	A	A	A	P	A	A	A
AF086184	A	A	A	A	A	P	A	A	A	A
AF086219	A	A	A	A	A	A	A	A	A	A
AF086288	A	A	A	A	A	A	A	A	A	A
AF086294	A	A	A	A	A	A	A	A	A	A
AF090939	A	P	A	A	A	P	M	A	A	A
AF131215.3	A	A	A	A	A	A	A	A	A	A
AF131215.4	A	M	A	A	A	P	A	A	A	A
AF131215.8	A	A	A	A	A	P	A	A	A	A
