GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
ABHD16B	1.14	1.14	1.64	1.64	1.14	1.64	0.79	1.14	1.64	2.33
ABHD17A	3.73	3.73	3.91	3.91	3.73	3.91	3.38	3.73	3.91	3.88
ABHD17B	2.89	2.89	1.92	1.92	2.89	1.92	2.26	2.89	1.92	1.95
ABHD17C	1.36	1.36	0.22	0.22	1.36	0.22	0	1.36	0.22	0.74
ABHD2	3.76	3.76	2.83	2.83	3.76	2.83	3.24	3.76	2.83	3.61
ABHD3	0.94	0.94	1.99	1.99	0.94	1.99	1.24	0.94	1.99	1.91
ABHD4	4.66	4.66	4.17	4.17	4.66	4.17	4.48	4.66	4.17	4.38
ABHD5	3.23	3.23	3.23	3.23	3.23	3.23	1.42	3.23	3.23	2.31
ABHD6	1.48	1.48	2.46	2.46	1.48	2.46	2.17	1.48	2.46	2.07
ABHD8	2.37	2.37	2.35	2.35	2.37	2.35	2.11	2.37	2.35	2.65
ABI1	4.28	4.28	3.98	3.98	4.28	3.98	4.36	4.28	3.98	4.54
ABI2	0.86	0.86	0.36	0.36	0.86	0.36	1.36	0.86	0.36	0.96
ABI3	1.28	1.28	2.26	2.26	1.28	2.26	2.48	1.28	2.26	3.36
ABI3BP	4.02	4.02	3.35	3.35	4.02	3.35	4.04	4.02	3.35	4.24
ABL1	5.82	5.82	5.06	5.06	5.82	5.06	4.85	5.82	5.06	4.83
ABL2	2.39	2.39	2.46	2.46	2.39	2.46	2	2.39	2.46	2.26
ABLIM1	4.84	4.84	4.99	4.99	4.84	4.99	5.17	4.84	4.99	3.9
ABLIM2	1.02	1.02	2.31	2.31	1.02	2.31	0.82	1.02	2.31	0.18
ABLIM3	4.05	4.05	4.58	4.58	4.05	4.58	4.12	4.05	4.58	3.43
ABO	0	0	0	0	0	0	0	0	0	0
ABR	3.9	3.9	3.75	3.75	3.9	3.75	3.68	3.9	3.75	3.89
ABRA	0	0	0	0	0	0	0	0	0	0
ABRACL	2.29	2.29	3.47	3.47	2.29	3.47	2.64	2.29	3.47	4.26
ABT1	3.28	3.28	3.4	3.4	3.28	3.4	3.32	3.28	3.4	2.94
ABTB1	3.82	3.82	3.81	3.81	3.82	3.81	4.36	3.82	3.81	3.72
ABTB2	0.92	0.92	0.32	0.32	0.92	0.32	0.93	0.92	0.32	0
AC000032.2	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0
AC000068.10	0	0	0	0	0	0	0	0	0	0
AC000068.5	0	0	0	0	0	0	0	0	0	0
AC000068.9	3.74	3.74	2.33	2.33	3.74	2.33	2.2	3.74	2.33	2.92
AC000099.1	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0
AC000120.7	0.3	0.3	0	0	0.3	0	0	0.3	0	0
AC000123.4	1.69	1.69	0.88	0.88	1.69	0.88	0.53	1.69	0.88	0.7
AC000124.1	0	0	0	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0
AC002044.4	0	0	0	0	0	0	0	0	0	0
AC002056.5	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0	0	0	0	0	0	0	0	0.33
AC002064.4	1.03	1.03	0	0	1.03	0	0	1.03	0	0
AC002064.5	0.6	0.6	0	0	0.6	0	0	0.6	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0
AC002076.10	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0
AC002116.7	0	0	0	0	0	0	0	0	0	0
AC002117.1	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	0
AC002310.12	0	0	0	0	0	0	0	0	0	0
AC002310.7	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0
AC002398.11	0	0	0	0	0	0	0	0	0	0
AC002398.12	0	0	0	0	0	0	0	0	0	0
AC002398.13	1.59	1.59	1.23	1.23	1.59	1.23	0.96	1.59	1.23	1.55
AC002398.5	0	0	0	0	0	0	0	0	0	0
AC002401.1	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0	0	0	0	0
AC002451.3	0	0	0	0	0	0	0	0	0	0
AC002454.1	0	0	0	0	0	0	0	0	0	0
AC002456.2	0	0	0	0	0	0	0	0	0	0
AC002463.3	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0
AC002467.7	0	0	0	0	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0	0	0	0	0
AC002472.13	0	0	0	0	0	0	0	0	0	0
AC002480.2	0	0	0	0	0	0	0	0	0	0
AC002480.3	0	0	0	0	0	0	0	0	0	0
AC002480.4	0	0	0	0	0	0	0	0	0	0
AC002480.5	0	0	0	0	0	0	0	0	0	0
AC002511.1	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0
AC002519.8	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0
AC002550.5	0	0	0	0	0	0	0	0	0	0
AC002551.1	0	0	0	0	0	0	0	0	0	0
AC003003.5	0	0	0	0	0	0	0	0	0	0
AC003005.2	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0
AC003051.1	0	0	0	0	0	0	0	0	0	0
AC003075.4	0	0	0	0	0	0	0	0	0	0
AC003084.2	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	0	0	0	0	0	0	0	0
AC003090.1	0	0	0	0	0	0	0	0	0	0
AC003092.1	0	0	0	0	0	0	0	0	0	0
AC003092.2	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	0	0	0	0	0	0	0	0	0
AC003102.3	0	0	0	0	0	0	0	0	0	0
AC003104.1	0	0	0	0	0	0	0	0	0	0
AC003664.1	0	0	0	0	0	0	0	0	0	0
AC003665.1	0	0	0	0	0	0	0	0	0	0
AC003682.16	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0
AC003973.4	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	0	0	0	0
AC003986.6	0	0	0	0	0	0	0	0	0	0
AC003986.7	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0
AC003991.3	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0
AC004019.13	0	0	0	0	0	0	0	0	0	0
AC004041.2	0	0	0	0	0	0	0	0	0	0
AC004051.2	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0
AC004066.3	0	0	0	0	0	0	0	0	0	0
AC004067.5	0.34	0.34	0	0	0.34	0	0	0.34	0	0.23
AC004069.2	0	0	0	0	0	0	0	0	0	0
AC004070.1	0	0	0	0	0	0	0	0	0	0
AC004112.4	0	0	0	0	0	0	0	0	0	0
AC004125.3	0	0	0	0	0	0	0	0	0	0
AC004156.3	0	0	0	0	0	0	0	0	0	0
AC004158.2	0	0	0	0	0	0	0	0	0	0
AC004158.3	0	0	0	0	0	0	0	0	0	0
AC004160.4	0	0	0	0	0	0	0	0	0	0
AC004221.2	0	0	0	0	0	0	0	0	0	0
AC004231.2	0	0	0	0	0	0	0	0	0	0
AC004237.1	0	0	0	0	0	0	0	0	0	0
AC004257.1	0	0	0	0	0	0	0	0	0	0
AC004257.3	0.98	0.98	2.15	2.15	0.98	2.15	2.21	0.98	2.15	1.4
AC004381.6	0.11	0.11	0	0	0.11	0	0.56	0.11	0	0.61
AC004381.7	0	0	0	0	0	0	0	0	0	0
AC004410.3	0	0	0	0	0	0	0	0	0	0
AC004447.2	2.53	2.53	1.67	1.67	2.53	1.67	2.17	2.53	1.67	2.7
AC004448.2	0	0	0	0	0	0	0	0	0	0
AC004448.5	0	0	0	0	0	0	0	0	0	0
AC004449.6	0	0	0	0	0	0	0	0	0	0
AC004463.6	0	0	0.33	0.33	0	0.33	0	0	0.33	0
AC004471.10	0	0	0	0	0	0	0	0	0	0
AC004471.9	0	0	0	0	0	0	0	0	0	0
AC004485.3	0	0	0	0	0	0	0	0	0	0
AC004490.1	0	0	0	0	0	0	0	0	0	0
AC004510.3	0	0	0	0	0	0	0	0	0	0
AC004528.4	0	0	0	0	0	0	0	0	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0
AC004538.3	0	0	0	0	0	0	0	0	0	0
AC004540.4	0	0	0	0	0	0	0.27	0	0	0
AC004540.5	0	0	0.84	0.84	0	0.84	1.22	0	0.84	1.47
AC004543.2	0	0	0	0	0	0	0	0	0	0
AC004549.6	0	0	0	0	0	0	0	0	0	0
AC004562.1	0	0	0	0	0	0	0	0	0	0
AC004593.3	0	0	0	0	0	0	0	0	0	0
AC004603.4	0	0	0	0	0	0	0	0	0	0
AC004637.1	0	0	0	0	0	0	0	0	0	0
AC004691.5	0	0	0	0	0	0	0	0	0	0
AC004692.4	0	0	0	0	0	0	0	0	0	0
AC004702.2	0	0	0	0	0	0	0	0	0	0
AC004744.3	0	0	0	0	0	0	0	0	0	0
AC004775.5	0	0	0	0	0	0	0	0	0	0
AC004791.2	0.91	0.91	1.25	1.25	0.91	1.25	1.78	0.91	1.25	0.3
AC004837.4	0	0	0	0	0	0	0	0	0	0
AC004837.5	0	0	0	0	0	0	0	0	0	0
AC004840.8	0	0	0	0	0	0	0	0	0	0
AC004840.9	0	0	0.98	0.98	0	0.98	0.72	0	0.98	0
AC004854.4	0	0	0	0	0	0	0	0	0	0
AC004862.6	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0
AC004870.3	0	0	0	0	0	0	0	0	0	0
AC004870.4	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0	0	0	0
AC004878.7	0	0	0	0	0	0	0	0	0	0
AC004878.8	0	0	0	0	0	0	0	0	0	0
AC004893.11	0	0	0	0	0	0	0.14	0	0	0
AC004895.4	0	0	0	0	0	0	0	0	0	0
AC004901.1	0	0	0	0	0	0	0	0	0	0
AC004906.3	0	0	0	0	0	0	0	0	0	0
AC004920.3	0	0	0	0	0	0	0	0	0	0
AC004941.3	0	0	0	0	0	0	0	0	0	0
AC004947.2	0	0	0	0	0	0	0	0	0	0
AC004951.6	0	0	0	0	0	0	0	0	0	0
AC004988.1	0	0	0	0	0	0	0	0	0	0.97
AC005008.2	0	0	0	0	0	0	0	0	0	0
AC005009.1	0	0	0	0	0	0	0	0	0	0
AC005009.2	0	0	0	0	0	0	0	0	0	0
AC005013.5	0	0	0	0	0	0	0	0	0	0
AC005019.3	0	0	0	0	0	0	0	0	0	0
AC005022.1	0	0	0	0	0	0	0	0	0	0
AC005027.3	0	0	0	0	0	0	0	0	0	0
AC005029.1	0	0	0	0	0	0	0	0	0	0
AC005037.3	0	0	0	0	0	0	0	0	0	0
AC005041.17	0	0	0	0	0	0	0	0	0	0
AC005042.4	0	0	0	0	0	0	0	0	0	0
AC005042.5	0	0	0	0	0	0	0	0	0	0
AC005062.2	0	0	0	0	0	0	0	0	0	0
AC005076.5	0	0	0	0	0	0	0	0	0	0
AC005082.12	0	0	0	0	0	0	0	0	0	0.51
AC005083.1	0	0	0	0	0	0	0	0	0	0.77
AC005104.3	1.98	1.98	0.75	0.75	1.98	0.75	0.96	1.98	0.75	1.76
AC005150.1	0	0	0	0	0	0	0	0	0	0
AC005152.2	0	0	0	0	0	0	0	0	0	0
AC005152.3	1.74	1.74	0	0	1.74	0	0	1.74	0	0
AC005154.6	0.97	0.97	0.79	0.79	0.97	0.79	0.3	0.97	0.79	1.31
AC005160.3	0	0	0	0	0	0	0	0	0	0
AC005162.4	0	0	0	0	0	0	0	0	0	0
AC005162.5	0	0	0	0	0	0	0	0	0	0
AC005197.2	0	0	0	0	0	0	0	0	0	0
AC005220.3	0	0	0	0	0	0	0	0	0	0
AC005224.2	0	0	0	0	0	0	0	0	0	0
AC005235.1	0	0	0	0	0	0	0	0	0	0
AC005237.4	1.22	1.22	0	0	1.22	0	0	1.22	0	0
AC005253.2	1.7	1.7	0.45	0.45	1.7	0.45	0.02	1.7	0.45	0.37
AC005256.1	0	0	0	0	0	0	0	0	0	0
AC005262.3	0	0	0	0	0	0	0	0	0	0
AC005264.2	0	0	0	0	0	0	0	0	0	0
AC005276.1	0	0	0	0	0	0	0	0	0	0
AC005281.1	0	0	0	0	0	0	0	0	0	0
AC005281.2	0	0	0	0	0	0	0	0	0	0
AC005301.8	0	0	0	0	0	0	0	0	0	0
AC005304.1	0	0	0	0	0	0	0	0	0	0
AC005306.3	1.56	1.56	0.8	0.8	1.56	0.8	1.44	1.56	0.8	1.08
AC005307.1	0	0	0	0	0	0	0	0	0	0
AC005307.3	0	0	0	0	0	0	0	0	0	0
AC005324.6	0	0	0	0	0	0	0	0	0	0
AC005324.7	0	0	0	0	0	0	0	0	0	0
AC005329.7	0	0	0	0	0	0	0	0	0	0
AC005330.2	0	0	0	0	0	0	0	0	0	0
AC005355.1	0	0	0	0	0	0	0	0	0	0
AC005355.2	0	0	0	0	0	0	0	0	0	0
AC005356.1	0	0	0	0	0	0	0	0	0	0
AC005358.3	0	0	0	0	0	0	0	0	0	0
AC005387.2	0.37	0.37	0	0	0.37	0	0	0.37	0	0.33
AC005387.3	1.58	1.58	0.28	0.28	1.58	0.28	0.03	1.58	0.28	0.38
AC005391.2	0	0	0	0	0	0	0	0	0	0
AC005392.13	0	0	0	0	0	0	0	0	0	0
AC005394.1	0	0	0	0	0	0	0	0	0	0
AC005481.5	0	0	0	0	0	0	0	0	0	0
AC005487.2	0	0	0	0	0	0	0	0	0	0
AC005498.3	0	0	0	0	0	0	0	0	0	0
AC005498.4	0	0	0	0	0	0	0	0	0	0
AC005518.2	0	0	0	0	0	0	0	0	0	0
AC005519.4	2.88	2.88	2.48	2.48	2.88	2.48	2.53	2.88	2.48	2.77
AC005522.7	0	0	0	0	0	0	0	0	0	0
AC005523.3	0	0	0	0	0	0	0	0	0	0
AC005532.5	0	0	0	0	0	0	0	0	0	0
AC005534.8	0	0	0	0	0	0	0	0	0	0
AC005537.2	0	0	0	0	0	0	0	0	0	0
AC005538.5	0	0	0	0	0	0	0	0	0	0
AC005540.3	0	0	0	0	0	0	0	0	0	0
AC005546.2	0	0	0	0	0	0	0	0	0	0
AC005550.3	0	0	0	0	0	0	0	0	0	0
AC005550.4	0	0	0.32	0.32	0	0.32	1.86	0	0.32	1.64
AC005550.5	0	0	0	0	0	0	0	0	0	0
AC005562.1	0	0	0	0	0	0	0	0	0	0
AC005592.1	0	0	0	0	0	0	0	0	0	0
AC005592.2	0	0	0	0	0	0	0	0	0	0
AC005592.3	0	0	0	0	0	0	0	0	0	0
AC005594.3	0.3	0.3	0	0	0.3	0	0	0.3	0	0
AC005597.1	0	0	0	0	0	0	0	0	0	0
AC005606.14	0	0	0	0	0	0	0	0	0	0
AC005614.3	0	0	0	0	0	0	0	0	0	0
AC005616.1	0	0	0	0	0	0	0	0	0	0
AC005616.2	0	0	0	0	0	0	0	0	0	0
AC005618.6	0	0	0	0	0	0	0	0	0	0
AC005624.2	0	0	0	0	0	0	0	0	0	0
AC005625.1	0	0	0	0	0	0	0	0	0	0
AC005682.5	2.34	2.34	0	0	2.34	0	1.2	2.34	0	0.41
AC005682.8	1.06	1.06	0	0	1.06	0	0	1.06	0	0
AC005703.2	0	0	0	0	0	0	0	0	0	0
AC005703.3	0	0	0	0	0	0	0	0	0	0
AC005740.5	0	0	0	0	0	0	0	0	0	0
AC005740.6	0	0	0	0	0	0	0	0	0	0
AC005754.7	0	0	0	0	0	0	0	0	0	0
AC005754.8	0	0	0	0	0	0	0	0	0	0
AC005757.6	0	0	0	0	0	0	0	0	0	0
AC005772.2	0	0	0	0	0	0	0	0	0	0
AC005775.2	0	0	0	0	0	0	0	0	0	0
AC005780.1	0	0	0	0	0	0	0	0	0	0
AC005785.2	0	0	0	0	0	0	0	0	0	0
AC005786.5	0	0	0	0	0	0	0	0	0	0
AC005789.11	0	0	0	0	0	0	0	0	0	0
AC005808.3	0	0	0	0	0	0	0	0	0	0
AC005863.1	0	0	0	0	0	0	0	0	0	0
AC005863.2	0	0	0	0	0	0	0	0	0	0
AC005932.1	0.05	0.05	0	0	0.05	0	0	0.05	0	0
AC005943.5	0	0	0	0	0	0	0	0	0	0
AC005954.3	0	0	0	0	0	0	0	0	0	0
AC005954.4	0	0	0	0	0	0	0	0	0	0
AC006000.5	0	0	0	0	0	0	0	0	0	0
AC006003.3	0	0	0	0	0	0	0	0	0	0
AC006004.1	0	0	0	0	0	0	0	0	0	0
AC006007.1	0	0	0	0	0	0	0	0	0	0
AC006019.3	0	0	0	0	0	0	0	0	0	0
AC006019.4	0	0	0	0	0	0	0	0	0	0
AC006026.13	0	0	0	0	0	0	0	0	0	0
AC006037.2	0	0	0	0	0	0	0	0	0	0
AC006041.1	0	0	0	0	0	0	0	0	0	0
AC006042.6	1.41	1.41	0	0	1.41	0	0.91	1.41	0	0.31
AC006042.7	0	0	0	0	0	0	0	0	0	0
AC006050.2	0	0	0	0	0	0	0	0	0	0
AC006076.1	0	0	0	0	0	0	0	0	0	0
AC006115.3	0	0	0	0	0	0	0	0	0	0
AC006116.12	0	0	0	0	0	0	0	0	0	0
AC006116.15	0	0	0	0	0	0	0	0	0	0
AC006116.17	0	0	0	0	0	0	0	0	0	0
AC006116.19	0	0	0	0	0	0	0	0	0	0
AC006116.20	0	0	0	0	0	0	0	0	0	0
AC006116.21	0	0	0	0	0	0	0	0	0	0
AC006116.24	0	0	0	0	0	0	0	0	0	0
AC006126.3	0	0	0	0	0	0	0	0	0	0
AC006126.4	0	0	1.25	1.25	0	1.25	0.9	0	1.25	0.46
AC006129.1	0.47	0.47	0	0	0.47	0	0	0.47	0	0.04
AC006129.2	0	0	0	0	0	0	0	0	0	0
AC006129.4	0.78	0.78	0	0	0.78	0	0	0.78	0	0.27
AC006130.3	0	0	0	0	0	0	0	0	0	0
AC006132.1	0	0	0	0	0	0	0	0	0	0
AC006150.1	0	0	0	0	0	0	0	0	0	0
AC006159.3	0	0	0	0	0	0	0	0	0	0
AC006159.4	0	0	0	0	0	0	0	0	0	0
AC006159.5	0	0	0	0	0	0	0	0	0	0
