Sample1	Sample2	Sample3	Sample4	Sample5
AC000120.7	0	0	0	0	0.2281
AC000123.4	0	0	0	0	0
AC000124.1	0	0	0	0	0
AC000370.2	0	0	0	0	0
AC002044.4	0	0	0	0	0
AC002056.5	0	0	0	0	0
AC002059.10	0	0	0	0	0
AC002064.4	0	0	0	0	0
AC002064.5	0	0	0	0	0
AC002066.1	0	0	0	0	0
AC002076.10	0	0	0	0	0
AC002115.5	0	0	0	0	0
AC002115.9	0	0	0	0	0
AC002116.7	0.5637	1.0652	0	0	0.1045
AC002116.8	0	0	0	0	0
AC002117.1	2.3791	0.9813	1.3818	0.9693	1.1967
AC002127.4	0	0	0	0	0
AC002128.5	0	0	0	0	0
AC002306.1	0	0	0	0	0
AC002310.12	1.9269	0.7985	1.3785	0.5098	0.8517
AC002310.13	0	0	0	0	0
AC002310.7	0	0	0	0	0
AC002331.1	0	0	0	0	0
AC002368.4	0	0	0	0	0
AC002383.2	0	0	0	0	0
AC002386.1	0	0	0	0	0
AC002398.11	0	0	0	0	0
AC002398.12	0	0	0	0	0
AC002398.13	0	0	0	0	0
AC002398.5	0	0	0	0	0
AC002398.9	0	0	0	0	0
AC002401.1	0	0	0	0	0
AC002429.5	0	0	0	0	0
AC002451.3	0	0	0	0	0
AC002454.1	7.2245	5.6513	6.6452	4.8613	5.8942
AC002456.2	0	0	0	0	0
AC002463.3	0	0	0	0	0
AC002465.2	0	0	0	0	0
AC002467.7	1.9755	0.4514	1.0291	0.2068	2.1031
AC002472.11	0	0	0	0	0
AC002472.13	0	0	0	0	0
AC002480.2	0	0	0	0	0
AC002480.3	0	0	0	0	0
AC002480.4	0	0	0	0	0
AC002480.5	0	0	0	0	0
AC002511.1	0	0	0	0	0
AC002511.2	0	0	0	0	0
AC002511.3	0	0	0	0	0
AC002519.8	0	0	0	0	0
AC002539.1	0	0	0	0	0
AC002550.5	0	0	0	0	0
AC002551.1	0	0	0	0	0
AC002985.3	0	0	0	0	0
AC003002.4	0	0	0	0	0
AC003002.6	0	0	0	0	0
AC003003.5	0	0	0	0	0
AC003005.2	0.032	0	0	0	0
AC003005.4	0	0	0	0	0
AC003006.7	0	0	0	0	0
AC003009.1	0	0	0	0	0
AC003051.1	0	0	0	0	0
AC003075.4	0	0	0	0	0
AC003084.2	0	0	0	0	0
AC003088.1	0	2.3475	0	0	0
AC003090.1	0	0	0	0	0
AC003092.1	0	0	0	0	0
AC003092.2	0	0	0	0	0
AC003101.1	0	0	0	0	0
AC003102.3	0	0	0	0	0
AC003104.1	1.9922	2.4165	1.5002	1.1429	3.5739
AC003664.1	0	0	0	0	0
AC003665.1	0	0	0	0	0
AC003682.16	0	1.197	1.5579	0.9084	0.7879
AC003956.1	0	0	0	0	0
AC003958.2	0	0	0	0	0
AC003973.4	0	0	0	0	0
AC003973.5	0	0	0	0	0
AC003984.1	0	0	0	0	0
AC003985.1	0	0	0	0	0
AC003986.5	0	0	0	0	0
AC003986.6	0	0	0	0	0
AC003986.7	0	0	0	0	0
AC003988.1	0	0	0	0	0
AC003991.3	0	0	0	0	0
AC004009.3	0	0	0	0	0
AC004012.1	0	0	0	0	0
AC004014.3	0	0	0	0	0
AC004019.13	0	0	0	0	0
AC004019.18	0	0	0	0	0
AC004041.2	0	0	0	0	0.0122
AC004051.2	0	0	0	0	0
AC004053.1	0	0	0	0	0
AC004054.1	0	0	0	0	0
AC004063.1	0	0	0	0	0
AC004066.3	0	0	0	0	0
AC004067.5	0	0	0	0	0
AC004069.2	1.2324	1.6213	1.0596	1.8371	0.276
AC004070.1	0	0	0	0	0
AC004076.7	0	0	0	0	0
AC004076.9	0	0	0	0	0
AC004112.4	0	0	0	0	0
AC004125.3	0	0	0	0	0.9552
AC004156.3	0	0	0	0	0
AC004158.2	0.3245	0.8039	0.8269	0	0
AC004158.3	0	0	0	0	0
AC004160.4	0	0	0	0	0
AC004221.2	0	0	0	0	0
AC004231.2	0	0	0	0	0
AC004237.1	0.3359	0	0	0	1.7836
AC004257.1	0	0	0	0	0
AC004257.3	0	1.88	1.4265	2.1727	1.6787
AC004381.6	2.7128	1.8425	1.9989	1.1141	1.5886
AC004381.7	0	0	0	0	0
AC004410.3	0.7997	0	0	0.1529	0.0322
AC004447.2	0	0	0	0	0
AC004448.2	0	0	0	0	0
AC004448.5	0	0	0	0	0
AC004449.6	0	0	0	0	0
AC004463.6	1.2417	0.5713	0.6905	0.2461	0
AC004471.10	0	0	0	0	0
AC004471.9	0	0	0	0	0
AC004485.3	0	0	0	0	0
AC004490.1	0	0	0	0	0
AC004510.3	0.3622	0	0	0	0
AC004528.4	0	0	0	0	0
AC004535.2	0	0	0	0	0
AC004538.3	0	0	0	0	0
AC004540.4	1.8954	0	0	0	0
AC004540.5	0	0	0	0	0
AC004543.2	0	0	0	0	0
AC004549.6	0	0	0	0	0
AC004562.1	0	0	0	0	0
AC004593.3	0	0	0	0	0
AC004603.4	0	0	0	0	0
AC004623.2	0	0	0	0	0
AC004637.1	0	0	0	0	0
AC004691.5	0	0	0	0	0
AC004692.4	0	0	0	0	0
AC004702.2	0	0	0	0	0
AC004744.3	0	0	0	0	0
AC004775.5	0	0	0	0	0
AC004791.2	0	0	0.556	3.3338	0
AC004837.4	0	0	0	0	0
AC004837.5	0	0	0	0	0
AC004840.8	0	0	0	0	0
AC004840.9	2.4555	1.8484	2.0411	0.9091	2.077
AC004854.4	3.0337	3.448	2.8867	2.7384	1.6591
AC004862.6	0	0	0	0	0
AC004869.2	0	0	0	0	0
AC004869.3	0	0	0	0	0
AC004870.3	0	0	0	0	0
AC004870.4	0	0	0	0	0
AC004878.2	0	0	0	0	0
AC004878.7	0	1.2777	0.4922	0.2757	0
AC004878.8	0	0	0	0	0
AC004893.11	0.6607	1.7681	1.459	1.6006	2.1581
AC004895.4	0	0	0	0	0
AC004901.1	0	0	0	0	0
AC004906.3	0	0	0	0	0
AC004920.3	0	0	0	0	0
AC004941.3	0	0	0	0	0
AC004947.2	0	0	0	0	0
AC004951.6	0.8043	2.0558	0.7565	1.2503	0.9545
AC004988.1	0	0	0	0	0
AC005008.2	0	0	0	0	0
AC005009.1	0	0	0	0	0
AC005009.2	0	0	0	0	0
AC005013.5	0	0	0	0	0
AC005019.3	0	0	0	0	0
AC005022.1	0	0	0	0	0
AC005027.3	0	0	0	0	0
AC005029.1	0	0	0	0	0
AC005037.3	0.6613	1.5277	0	0.7814	0
AC005041.17	0	0	0	0	0
AC005042.4	0	0	0	0	0
AC005042.5	0	0	0	0	0
AC005062.2	0	0	0	0	0
AC005076.5	1.1652	0.5685	2.3104	1.2173	1.1672
AC005082.12	0	0	0	0	0
AC005083.1	0	0	0	0	0
AC005104.3	0	0	0	0	0
AC005150.1	0	0	0	0	0
AC005152.2	0	0	0	0	0
AC005152.3	0	0	0	0	0
AC005154.6	0.4042	0.8777	0.6662	0	1.4491
AC005160.3	0	0	0	0	0
AC005162.4	0	0	0	0	0
AC005162.5	0	0	0	0	0
AC005197.2	0	0	0	0	0
AC005220.3	0.862	0	0	0	0
AC005224.2	0	0	0	0	0
AC005235.1	0	0	0	0	0
AC005237.4	0	0	0	0	0
AC005253.2	0	0	0	0	0
AC005253.4	0	0	0	0	0
AC005256.1	0	0	0	0	0
AC005262.2	0	0.9567	1.0092	0	1.0201
AC005262.3	0.4873	1.852	2.4826	0.94	2.2345
AC005264.2	0	0	0	0	0
AC005276.1	0	0	0	0	0
AC005281.1	0	0	0	0	0
AC005281.2	0	0	0	0	0
AC005301.8	0	0	0	0	0
AC005304.1	0	0	0	0	0
AC005306.3	0	0.6984	1.0714	0.2539	1.6713
AC005307.1	0	0	0	0	0
AC005307.3	0	0	0	0	0
AC005324.6	0	0	0	0	0
AC005324.7	0	0	0	0	0
AC005329.7	0	1.1194	0	0.5881	0.1498
AC005330.2	0	0	0	0	0
AC005339.2	0.5293	1.5466	1.84	1.1794	1.2879
AC005355.1	0	0	0	0	0
AC005355.2	0	0	0	0	0
AC005356.1	0	0	0	0	0
AC005358.3	0	0	0	0	0
AC005387.2	0	0	0	0	0
AC005387.3	0	0	0	0	0
AC005391.2	0	0	0	0	0
AC005392.13	0	0	0	0	0
AC005394.1	0	0	0	0	0
AC005481.5	0	0	0	0	0
AC005484.5	0	0	0	0	0
AC005487.2	0	0	0	0	0
AC005498.3	0	0	0	0	0
AC005498.4	0	0	0	0	0
AC005518.2	0	0	0	0	0
AC005519.4	0.5911	1.1504	0.2444	0	0.6013
AC005522.7	0	0	0	0	0
AC005523.2	0	0	0	0	0
AC005523.3	0	0	0	0	0.0255
AC005532.5	0	0	0	0	0
AC005534.8	0	0.6963	0	1.4325	2.4167
AC005537.2	0	0	0	0	0
AC005538.5	0	0	0	0	0
AC005540.3	0.3842	0	0.3434	0.9669	0.6702
AC005546.2	0	2.4378	1.2808	1.5117	0.3696
AC005550.3	0	0	0	0	0
AC005550.4	0	0	0	0	0
AC005550.5	0	0	0	0	0
AC005559.2	0	0	0	0	0
AC005562.1	1.5792	0.8724	1.0554	0.6414	1.5678
AC005592.1	0	0	0	0	0
AC005592.2	0	0	0	0	0
AC005592.3	0	0	0	0	0
AC005594.3	0	0	0	0	0
AC005597.1	0	0	0	0	0
AC005606.14	0	0	0	0	0
AC005606.15	0	0	0	0	0
AC005614.3	0	0	0	0	0
AC005614.5	0	0	0	0	0
AC005616.1	0	0	0	0	0
AC005616.2	0	0	0	0	0
AC005618.6	0.5019	0	0.5671	0	0
AC005624.2	0	1.304	0.1451	0	0
AC005625.1	0	0	0	0	0
AC005682.5	0	0	0	0.5102	0.8751
AC005682.8	0	0	0	0	0
AC005703.2	0	0	0	0	0
AC005703.3	0	0	0	0	0
AC005740.5	0	0	0	0	0
AC005740.6	0	0	0	0	0
AC005754.7	0	0	0	0	0
AC005754.8	0	0	0	0	0
AC005757.6	0	0	0	0	0
AC005757.7	0	0	0	0	0
AC005772.2	0	0	0	0	0
AC005775.2	0	0	0	0	0
AC005779.2	0	0	0	0	0
AC005780.1	0	0	0	0	0
AC005785.2	0	0	0	0	0
AC005786.5	0	0	0	0	0
AC005786.7	0	2.1066	0	0.8107	1.613
AC005789.11	0	0	0	0	0
AC005789.9	0	1.2689	0	0	0
AC005808.3	0	0	0	0	0
AC005863.1	0	0	0	0	0
AC005863.2	0	0	0	0	0
AC005932.1	0	0	0	0	0
AC005943.4	0	0	0	0	0
AC005943.5	0	0.4385	0	0.3242	0
AC005944.2	0	0	0	0	0
AC005954.3	0	0	0	0	0
AC005954.4	0	0	0	0	0
AC006000.5	0	0	0	0	0
AC006003.3	0	0	0	0	0
AC006004.1	0	0	0	0	0
AC006007.1	0	0	0	0	0
AC006019.3	0	0	0	0	0
AC006019.4	0	0	0	0	0
AC006026.13	2.8321	0	3.0005	1.3779	0
AC006037.2	0	0	0	0	0
AC006041.1	0	0	0	0	0
AC006042.6	0	0	0	0	0.4542
AC006042.7	0	0	0	0	0
AC006050.2	0	0	0	0	0
AC006076.1	0	0	0	0	0
AC006115.3	0	0	0	0	0
AC006116.12	0	0	0	0	0
AC006116.15	0	0	0	0	0
AC006116.17	0	0	0	0	0
AC006116.19	0.9881	0	0	0	0.4134
AC006116.20	0	0	0	0	0
AC006116.21	0	0	0	0	0
AC006116.24	0	0	0	0	0
AC006126.3	0	0	0	0	0
AC006126.4	0	0	0	0	0
AC006129.1	0	0	0	0	0
AC006129.2	3.6063	0	1.2443	0	2.4888
AC006129.4	0	0	0	0	0
AC006130.3	0	0	0	0	0
AC006132.1	0	0	0	0	0
AC006150.1	0	0	0	0	0
AC006159.3	0	0	0	0	0
AC006159.4	0	0	0	0	0
AC006159.5	0	0	0	0	0
AC006160.5	0.5932	0	0.5821	0.7479	0.504
AC006196.1	0	0	0	0	0
AC006227.1	0	0	0	0	0
AC006262.10	0	0	0	0	0
AC006262.4	0	0	0	0	0
AC006262.5	0	0	0	0	0
AC006262.6	0	0	0	0	0
AC006272.1	0	0	0	0	0.6521
AC006272.2	0	0	0	0	0
AC006273.4	0	0	0	0	0
AC006273.5	0	0	0	0	0
AC006273.7	0	0	0	0	0
AC006277.2	0.1481	0	0	0	0
AC006296.1	0	0	0	0	0
AC006296.2	0	0	0	0	0
AC006369.2	0	0	0	0	0
AC006369.3	0	0	0	0	0
AC006372.4	0	0	0	0	1.5567
AC006372.5	2.1623	0	0	0	2.2694
AC006372.6	0.6323	0	0	0	0.9352
AC006373.1	0	0	0	0	0
AC006378.2	0	0	0	0	0
AC006380.3	0	0	0	0	0
AC006445.8	0	0	1.6124	0	0
AC006458.3	0	0	0	0	0
AC006460.2	0	0	0	0	0
AC006481.1	0	0	0	0	0
AC006482.1	0	0	0	0	0
AC006486.9	0	0	0	0	0
AC006538.1	0	0	0	0	0
AC006538.4	0	0	0	0	0
AC006547.13	0	0	0	0	0
AC006547.14	0	0	0	0	0
AC006547.15	0	0	0	0	0
AC006547.8	0.5905	0.8448	0.3477	1.1363	1.0862
AC006552.1	0	0	0	0	0
AC006942.4	0	0	0	0.2035	0
AC006946.15	0	0	0	0	0
AC006946.16	0	0	0	0.0585	0
AC006946.17	0	0	0	0.7126	0
AC006947.1	0	0	0	0	0.3374
AC006960.7	0	0	0	0	0
AC006994.2	0	0	1.0641	1.2918	2.1591
AC007003.1	0	0	0	0	0
AC007009.1	0	0	0	0	0
AC007036.4	0	0.0678	2.2308	1.8631	0.7162
AC007036.5	0	0	0	0	0
AC007036.6	0	0	0	0	0
AC007038.7	0	0.4646	0	0	0.4374
AC007040.11	0	0	0	0	0
AC007040.5	0	0	0	0	0
AC007040.6	0	0	0	0	0
AC007040.7	0	0	0	0	0
AC007040.8	0	0	0	0	0
AC007050.17	0	0	0	0	0
AC007064.24	0	0	0	0	0
AC007078.4	0	0	0	0	0
AC007091.1	0	0	0	0	0
AC007092.1	0	0	0	0	0
AC007098.1	0	0	0	0	0
AC007099.1	0	0	0	0	0
AC007099.2	0	0	0	0	0
AC007106.1	0	0	0	0	0
AC007126.1	0	0	0	0	0
AC007128.1	0	0	0	0	0
AC007131.1	0	0	0	0	0
AC007131.2	0	0	0.421	0	0
AC007161.5	0	0	0	0	0
AC007163.3	0	0	0	0	0
AC007163.6	0	0	0	0	0
AC007179.1	0	0	0	0	0
AC007182.6	0	0	0	0	0
AC007192.6	0.6452	0	0	0	0
AC007193.10	0	0	0	0	0
AC007193.6	0	0	0	0	0
AC007193.8	0	0	0	0	0
AC007193.9	0	0	0	0	0
AC007204.2	0.21	0	0	0	0.5835
AC007228.11	0	0	0	0	0
AC007228.5	0	0	0	0	0
AC007228.9	0	0	0	0.7873	0
AC007246.3	0	0	0	0	0
AC007249.3	0	0	0	0	0
AC007250.4	0	0	0	0	0
AC007251.2	0	0	0	0	0
AC007255.8	0	0	0	0	0
AC007271.3	0	0	0	0	0
AC007277.3	0	0	0	0	0
AC007278.2	0	0	0	0	0
AC007278.3	0	0	0	0	0
AC007283.5	0	0	0	0	0
AC007285.6	0	0	0	0	0
AC007285.7	0	0	0	0	0
AC007292.3	0	0.3379	0	0	0.9206
AC007292.4	0	0	0	0	0
AC007292.6	0	0	0	0	0.2341
AC007292.7	0.624	0	0.7677	0.7673	1.1322
AC007308.6	0	0	0	0	0
AC007308.7	0	0	0	0	0
AC007317.1	0	0	0	0	0
AC007319.1	0	0	0	0	0
AC007327.5	0	0	0	0	0
AC007349.4	0	0	0	0	0
AC007349.5	0	0	0	0	0
AC007349.7	0	0	0	0	0
AC007359.6	0	0	0	0	0
AC007362.3	0	0	0	0	0
AC007364.1	0	0	0	0	0
AC007365.1	0	0	0	0	0
AC007365.3	1.3576	0	1.1625	1.3043	1.0254
AC007381.2	0	0	0	0	0
AC007381.3	0	0	0	0	0
AC007383.3	2.8348	1.5258	2.0622	2.193	1.7956
AC007383.4	0	0	0	0	0
AC007386.2	0	0	0	0	0
AC007386.4	0.5488	0	0	0.0605	1.8038
AC007389.3	0	0	0	0	0
AC007390.5	1.6925	2.4196	2.0355	0.1416	1.7444
AC007391.2	0	0	0	0	0
AC007392.3	0	0	0	0	0
AC007392.4	0	0	0	0	0
AC007395.3	0	0	0	0	0
AC007401.2	0	0	0	0	0
AC007403.1	0	0	0	0	0
AC007403.2	0	0	0	0	0
AC007403.3	0	0	0	0	0
AC007405.2	0	0	0	0	0
AC007405.4	0	0	0	0	0
AC007405.6	0	0	0	0	0
AC007405.8	0	0	0	0	0
AC007422.1	0	0	0	0	0
AC007431.1	0	0	0	0	0
AC007461.2	0	0	0	0	0
AC007463.2	0	0	0	0	0
AC007464.1	0	0	0	0	0
AC007551.3	0	0	0	0	0
AC007556.3	0	0	0	0	0
AC007557.1	0	0	0	0	0
AC007557.2	0	0	0	0	0
AC007557.3	0	0	0	0	0
AC007557.4	0	0	0	0	0
AC007563.1	0	0	0	0	0
AC007563.3	0	0	0	0	0
AC007563.5	0	0	0	0.4303	0
AC007566.10	1.1761	0	0	0	1.9377
AC007620.3	0	0.8356	0	0	1.357
AC007631.1	0	0	0	0	0
AC007652.1	0	0	0	0	0
AC007679.3	0	0	0	0	0
AC007680.2	0	0	0	0	0
AC007682.1	0	0	0	0	0
AC007740.1	0	0	0	0	0
AC007743.1	0	0.0578	0	0	0.6359
AC007750.5	0	0	0	0	0
AC007773.2	0.4333	0	0	0	0
AC007787.2	0	0	0	0	0
AC007795.1	0	0	0	0	0
AC007796.1	0	0	0	0	0
AC007879.1	0	0	0	0	0
AC007879.2	0	0	0	0	0
AC007879.3	0	0	0	0	0
AC007879.4	0	0	0	0	0
AC007879.5	0	0	0	0	0
AC007879.6	0	0	0	0	0
AC007879.7	0	0	0	0	0
AC007880.1	0	0	0	0	0
AC007948.1	0	0	0	0	0
AC007950.1	0	0	0	0	0
AC007952.4	0	0	0	0	0
AC007952.5	0	0	0	0	0
AC007952.6	0	0	0	0	0
AC007966.1	0	0	0	0	0
AC007970.1	0	0	0	0	0
AC008060.5	0	0	0	0	0
AC008060.7	0	0	0	0	0
AC008060.8	0	0	0	0	0
AC008063.2	0.2226	0	0	0	0
AC008063.3	0	0	0	0	0
AC008067.2	0	0	0	0	0
AC008069.1	0	0	0	0	0
AC008073.7	0	0	0	0	0
AC008073.9	0	0	0	0	0.2918
AC008074.3	0	0	0	0	0
AC008074.4	0	0	0	0	0
AC008079.9	0	0	0	0	0
AC008088.4	0	0	0	0	0
AC008132.13	0	0	0	0	0
AC008154.4	0	0	0	0	1.2092
AC008154.5	0	0	0	0	0
AC008163.4	0	0	0	0	0
AC008174.3	0	0	0	0	0
AC008175.1	0	0	0	0	0
AC008268.1	0	0	0	0	0
AC008269.2	0	0	0	0	0
AC008271.1	0	0	0	0	0
AC008277.1	0	0	0	0	0
AC008278.2	0	0	0	0	0
AC008278.3	0	0	0	0	0
AC008281.1	0	0	0	0	0
AC008440.10	0	0	0	0	0
AC008440.5	0	0	0	0	0
AC008592.4	0	0	0	0	0
AC008592.5	0	0	0	0	0
AC008592.7	0	0	0	0	0
AC008592.8	0	0	0	0	0
AC008691.1	0	0	0	0	0
AC008694.3	0	0	0	0	0
AC008697.1	0	0	0	0	0
AC008703.1	0	0	0	0	0
AC008746.12	0	0	0	0	0
AC008746.3	0	0	0	0	0
AC008753.4	0	0	0	0	0
AC008753.6	3.1897	0	0.0467	1.6773	0
AC008781.7	0	0	0	0	0
AC008834.1	0	0	0	0	0
AC008937.2	0	0	0	0	0
AC008937.3	0	0	0	0	0
AC008940.1	0	0	0	0	0
AC008982.2	3.8074	4.9813	4.0183	4.4723	3.2219
AC008984.2	0	0	0	0	0
AC008991.1	0	0	0	0	0
AC008992.1	0	0	0	0	0
AC009005.2	2.9636	2.2679	2.7011	1.724	2.2868
AC009014.3	0	0	0	0	0
AC009052.12	0	0	0	0	0
AC009095.4	0	0	0	0	0
AC009110.1	0	0	0	0	0
AC009120.10	0	0	0	0	0
AC009120.4	0	0	0	0	0
AC009120.5	0	0	0	0	0
AC009120.6	1.8488	3.0734	2.119	2.2331	2.7359
AC009133.12	0	0	0	0	0
AC009133.14	0	0	0	0	0
AC009133.15	0	0	0	0	0.1609
AC009133.17	1.6075	0	0	0	0
AC009133.20	0	0	0	0	0
AC009133.21	0	0	0	0	0
AC009134.1	0	0	0	0	0
AC009158.1	0	0	0	0	0
AC009166.5	0	0	0	0	0
AC009227.2	0	0	0	0	0
AC009227.3	0	0	0	0	0
AC009228.1	0	0	0	0	0
AC009229.5	0	0	0	0	0
AC009229.6	0	0	0	0	0
AC009232.2	0	0	0	0	0
AC009236.1	0	0	0	0	0
AC009236.2	0	0	0	0	0
AC009262.2	0	0	0	0	0
AC009276.4	0	0	0	0	0.3347
AC009299.2	0	0	0	0	0
AC009299.3	3.0418	3.1866	2.5662	2.5017	3.0858
AC009303.1	0	0	0	0	0
AC009305.1	0	0	0	0	0
AC009312.1	0	0	0	0	0
AC009313.1	0	0	0	0	0
AC009336.24	0	0	0	0	0
AC009365.3	0	0	0	0	0
AC009365.4	0	0	0	0	0
AC009403.2	2.4941	1.3222	1.2625	0.558	1.114
AC009404.2	0	0	0	0	0.2219
AC009410.1	0	0	0	0	0
AC009411.1	0	0	0	0	0
AC009411.2	0	0	0	0	0
AC009473.1	0	0	0	0	0
AC009478.1	0	0	0	0	0
AC009480.3	0	0	0	0	0.9042
AC009487.4	0	0	0	0	0
AC009487.5	0	0	0	0	0
AC009492.1	0	0	0	0	0
AC009495.2	0	0	0	0	0
AC009495.3	0	0	0	0	0.2091
AC009495.4	0	0.207	0	0	0
AC009498.1	0	0	0	0	0
AC009499.1	0	0	0	0	0
AC009499.2	0	0	0	0	0
AC009501.4	0	0	0	0	0
AC009502.4	0	0	0	0	0
AC009505.2	0	0	0	0	0
AC009505.4	0	0	0	0	0
