Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
CD3E	Y	0.93859	0.96476	0.957344	0.0140829659518157	0.97188	0	0%	NONE	0.09059	0.2486575	0.204275	0.106947038164795	0.39619	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.7161025	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.11230572399865
CD3D	Y	0.98621	0.99002	0.991194	0.00450918839703994	0.99624	0	0%	NONE	0.08815	0.27647	0.26973075	0.0742632117318939	0.3973975	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.71355	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.10477654994814
MYO1G	Y	0.842025	0.90382	0.907444	0.0457859191509791	0.96199	0	0%	NONE	0.08815	0.20505	0.208308	0.125038868428092	0.35453	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.69877	0.00112272815294471	0	0.319148936170213	17.5%	6	6	3	NA	2.06117960872716
VAV1	Y	0.7957675	0.86849	0.8670745	0.0532105154786157	0.93225	0	0%	NONE	0.08815	0.172035	0.175801	0.0911252842641505	0.29358	0	NA	 	0.696455	0.00112272815294471	0	0.297872340425532	17.5%	7	4	3	NA	2.05435099445608
TBC1D10C	Y	0.736635	0.85988	0.826062	0.0684647922840638	0.891585	0	0%	NONE	0.08815	0.19216	0.210885	0.136901659859266	0.48342	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.66772	0.00112272815294471	0	0.234042553191489	17.5%	4	4	3	NA	1.96959063545845
CARD11	Y	0.74401	0.75798	0.796736	0.0615294452274681	0.87316	0	0%	NONE	0.08815	0.09247	0.1077705	0.0499522441076363	0.249795	0	NA	 	0.66551	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.96307174235301
SELL	Y	0.71067	0.92543	0.896834	0.10821886817926	0.98582	0	0%	NONE	0.09059	0.2632875	0.199139	0.0942318305740334	0.304965	0	NA	 	0.6621425	0.00112272815294471	0	0.319148936170213	17.5%	5	5	5	NA	1.95313854211203
CD2	Y	0.53674	0.944875	0.853459	0.18184800481446	0.96406	0	0%	NONE	0.09435	0.28678	0.231991	0.123035921263309	0.3851	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.658095	0.00112272815294471	0	0.191489361702128	17.5%	4	4	1	NA	1.94119952860784
GPR174	Y	0.547005	0.7505	0.746453	0.146712582776666	0.91423	0	0%	NONE	0.08815	0.09247	0.1064	0.0456230850435269	0.23609	0	NA	 	0.65803	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.94100779645768
P2RY8	Y	0.74871	0.83328	0.824876	0.063288353035926	0.91618	0	0%	NONE	0.08815	0.175445	0.192822	0.120350745813135	0.43651	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.657835	0.00112272815294471	0	0.148936170212766	17.5%	5	2	0	NA	1.9404326000072
CD38	Y	0.53573	0.82504	0.77587	0.177801946699129	0.9579	0	0%	NONE	0.08815	0.1705475	0.2168475	0.138034094122712	0.366865	4	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	0.6544925	0.00112272815294471	0	0.382978723404255	17.5%	7	7	4	NA	1.9305731429009
LAX1	Y	0.66551	0.7309475	0.7561435	0.0841381659756736	0.87815	0	0%	NONE	0.088555	0.09247	0.1054925	0.0426110144374537	0.22661	0	NA	 	0.6384775	0.00112272815294471	0	0.170212765957447	17.5%	5	3	0	NA	1.88333329082687
CD247	Y	0.70877	0.80673	0.807177	0.0719530620960637	0.90635	0	0%	NONE	0.08815	0.168925	0.1751275	0.088833912169784	0.311725	0	NA	 	0.637805	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	1.88134960050406
SLC4A1	Y	0.11786	0.700915	0.5978855	0.285880370076366	0.81274	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.610325	0.00112272815294471	0	0.0425531914893617	17.5%	1	1	0	NA	1.80029114686721
SLC7A3	Y	0.11786	0.69496	0.558974	0.296358389357379	0.87071	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.60437	0.00112272815294471	0	0.212765957446809	17.5%	6	4	0	NA	1.78272553218718
CD79A	Y	0.46968	0.68943	0.702117	0.186752617371216	0.95323	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.59884	0.00112272815294471	0	0.326086956521739	19.3%	6	5	4	NA	1.76641355079664
KCNA3	Y	0.66343	0.85722	0.807947	0.107487337370501	0.897495	0	0%	NONE	0.08815	0.2713625	0.2581255	0.0648161093851932	0.322205	0	NA	 	0.5858575	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.72811874095893
ITGAL	Y	0.409235	0.86781	0.770945	0.233365140605875	0.96294	0	0%	NONE	0.09435	0.26344	0.239113	0.158723619333874	0.59972	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.60437	0.00168955450766876	0	0.297872340425532	17.5%	5	5	4	NA	1.67545131104049
CD48	Y	0.552935	0.80665	0.760943	0.141768417304419	0.90219	0	0%	NONE	0.09059	0.2500525	0.21276525	0.12275599574885	0.4655825	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.5565975	0.00112272815294471	0	0.170212765957447	17.5%	5	3	0	NA	1.64180977613308
RASAL3	Y	0.56343	0.72751	0.710902	0.142294589215472	0.87535	0	0%	NONE	0.08815	0.1764425	0.1818925	0.0982363661235831	0.319235	0	NA	 	0.5510675	0.00112272815294471	0	0.191489361702128	17.5%	4	3	2	NA	1.62549779474255
GPA33	Y	0.374415	0.64094	0.625111	0.200707869065964	0.82763	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.55035	0.00112272815294471	0	0.319148936170213	17.5%	5	5	5	NA	1.62338136677732
ALAS2	Y	0.11786	0.63506	0.548238	0.259401849299499	0.78275	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54447	0.00112272815294471	0	0.0425531914893617	17.5%	1	1	0	NA	1.60603698150132
CCR9	Y	0.37204	0.63294	0.635721	0.219828364536972	0.93738	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54235	0.00112272815294471	0	0.0851063829787234	17.5%	4	0	0	NA	1.59978356368072
SV2A	Y	0.52145	0.63382	0.622708	0.0667735795992696	0.696175	0	0%	NONE	0.088555	0.09247	0.1063335	0.0452672785949066	0.23502	0	NA	 	0.54135	0.00112272815294471	0	0.191489361702128	17.5%	4	3	2	NA	1.59683383829364
RGS9	Y	0.11846	0.62547	0.53759	0.390750330901971	0.90432	2	40%	Sample2,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.53488	0.00112272815294471	0	0.0625	15.8%	1	1	1	NA	1.57774911503926
NTNG2	Y	0.12279	0.60619	0.49078	0.338200907154313	0.81061	2	40%	Sample3,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.5156	0.00112272815294471	0	0.106382978723404	17.5%	4	1	0	NA	1.52087840957643
SLC23A1	Y	0.4604	0.58149	0.559109	0.0893584920523786	0.6597825	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.4909	0.00112272815294471	0	0.244444444444444	21.1%	4	4	3	NA	1.44802019251565
PRTN3	Y	0.11786	0.58001	0.4761845	0.219897022322382	0.64757	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.48942	0.00112272815294471	0	0.133333333333333	21.1%	2	2	2	NA	1.44365459894278
FXYD2	Y	0.1376	0.577635	0.514101	0.218422113074661	0.67257	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.487045	0.00112272815294471	0	0.340425531914894	17.5%	7	6	3	NA	1.43664900114847
MAP4K1	Y	0.68841	0.752995	0.73692	0.039816627023142	0.7772	0	0%	NONE	0.250845	0.27602	0.2894125	0.0528218644360458	0.43512	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.476975	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	1.40694526650062
CD27	Y	0.31485	0.538565	0.594949	0.233971065315778	0.87864	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.447975	0.00112272815294471	0	0.191489361702128	17.5%	5	4	0	NA	1.32140323027541
TSHR	Y	0.460845	0.53674	0.564479	0.119964435063064	0.76419	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.44615	0.00112272815294471	0	0.0638297872340425	17.5%	1	1	1	NA	1.316019981444
PTGDR2	Y	0.11898	0.5328	0.424702	0.28113537543326	0.74153	2	40%	Sample1,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.44221	0.00112272815294471	0	0.170212765957447	17.5%	6	1	1	NA	1.30439806341892
LRRC38	Y	0.1376	0.52007	0.474835	0.199367516536672	0.66739	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.42948	0.00112272815294471	0	0.106382978723404	17.5%	2	2	1	NA	1.26684805924144
CHRNA5	Y	0.310715	0.51057	0.48864	0.133790459814966	0.66232	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.41998	0.00112272815294471	0	0.191489361702128	17.5%	3	3	3	NA	1.23882566806422
SKAP1	Y	0.11786	0.500705	0.445989	0.318075586543513	0.80207	2	40%	Sample2,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.410115	0.00112272815294471	0	0.212765957446809	17.5%	4	3	3	NA	1.20972662712071
PHF7	Y	0.536225	0.5645275	0.5661335	0.0261150382682086	0.607705	0	0%	NONE	0.08815	0.163555	0.181227	0.093896985639701	0.27849	0	NA	 	0.4009725	0.00112272815294471	0	0	17.5%	0	0	0	NA	1.18275876276937
S100A12	Y	0.322795	0.57915	0.6085605	0.198468492008177	0.8508	1	20%		0.08815	0.09059	0.1985745	0.140372931081024	0.36167	4	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	0.48856	0.00528200871225246	0	0.212765957446809	17.5%	4	4	2	NA	1.11254926525225
CD28	Y	0.11846	0.77011	0.624536	0.365068086978306	0.97513	1	20%		0.09435	0.25087	0.204649	0.104721439643996	0.39896	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.51924	0.0145314062543909	0	0.152173913043478	19.3%	5	2	0	NA	0.954203378664986
NCDN	Y	0.46737	0.53241	0.558196	0.0765320852976057	0.65569	0	0%	NONE	0.09059	0.2324725	0.1882985	0.084969218611147	0.26392	0	NA	 	0.2999375	0.00112272815294471	0	0.195652173913043	19.3%	4	4	1	NA	0.884733258286134
FUT4	Y	0.50396	0.57405	0.5685975	0.0504827862369937	0.6421	0	0%	NONE	0.246375	0.2772925	0.2752275	0.010778952549091	0.28204	0	NA	 	0.2967575	0.00112272815294471	0	0.170212765957447	17.5%	6	1	1	NA	0.875353131555232
CD83	Y	0.35453	0.664065	0.619534	0.154216052074679	0.73743	0	0%	NONE	0.09059	0.25547	0.260953	0.246252242406034	0.91445	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.408595	0.00750625147342824	0	0.234042553191489	17.5%	6	5	0	NA	0.868091494371117
CCDC136	Y	0.1376	0.540895	0.457172	0.225264166441314	0.6905	2	40%	Sample3,Sample4	0.088555	0.173625	0.1755785	0.0902462305168476	0.27823	0	NA	 	0.36727	0.00750625147342824	0	0.212765957446809	17.5%	4	4	2	NA	0.780293354391708
CTSW	Y	0.42074	0.50611	0.535558	0.121518765145553	0.735355	0	0%	NONE	0.09435	0.24365	0.2042475	0.111242463646108	0.437795	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.26246	0.00168955450766876	0	0.297872340425532	17.5%	5	5	4	NA	0.727598906457447
LRRC37A3	Y	0.41403	0.517765	0.527074	0.111830755239782	0.683245	0	0%	NONE	0.2597875	0.2860775	0.281072	0.0212078465824955	0.31642	0	NA	 	0.2316875	0.00112272815294471	0	0	17.5%	0	0	0	NA	0.683414500618191
CR1	Y	0.11846	0.63506	0.52489	0.378436865011854	0.94387	2	40%	Sample2,Sample4	0.08815	0.1792775	0.179258	0.0939838746570685	0.27021	0	NA	 	0.4557825	0.0352668668888986	0	0.25531914893617	17.5%	6	6	0	NA	0.66208475564225
