GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
AARS	0.761345	0.761345	0.86184	0.86184	0.761345	0.86184	0.79613	0.761345	0.86184	0.79153
AARS2	0.35042	0.35042	0.368025	0.368025	0.35042	0.368025	0.39481	0.35042	0.368025	0.355495
AASDH	0.3161925	0.3161925	0.364345	0.364345	0.3161925	0.364345	0.38183	0.3161925	0.364345	0.310055
AASDHPPT	0.381195	0.381195	0.3996525	0.3996525	0.381195	0.3996525	0.4054225	0.381195	0.3996525	0.35358
AASS	0.68797	0.68797	0.593115	0.593115	0.68797	0.593115	0.4726775	0.68797	0.593115	0.40023
AATF	0.66653	0.66653	0.641085	0.641085	0.66653	0.641085	0.5981375	0.66653	0.641085	0.5736375
AATK	0.09059	0.09059	0.30875	0.30875	0.09059	0.30875	0.08815	0.09059	0.30875	0.24568
ABAT	0.30052	0.30052	0.281735	0.281735	0.30052	0.281735	0.08815	0.30052	0.281735	0.256555
ABCA1	0.79406	0.79406	0.557795	0.557795	0.79406	0.557795	0.54675	0.79406	0.557795	0.51942
ABCA12	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCA13	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCA2	0.560155	0.560155	0.5492	0.5492	0.560155	0.5492	0.462245	0.560155	0.5492	0.583845
ABCA3	0.37041	0.37041	0.364345	0.364345	0.37041	0.364345	0.3766525	0.37041	0.364345	0.2995825
ABCA4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCA5	0.521235	0.521235	0.41565	0.41565	0.521235	0.41565	0.420295	0.521235	0.41565	0.40754
ABCA6	0.63631	0.63631	0.46921	0.46921	0.63631	0.46921	0.6677475	0.63631	0.46921	0.526215
ABCA7	0.276905	0.276905	0.353005	0.353005	0.276905	0.353005	0.295315	0.276905	0.353005	0.41084
ABCA8	0.386785	0.386785	0.61116	0.61116	0.386785	0.61116	0.8362	0.386785	0.61116	0.583845
ABCA9	0.90405	0.90405	0.76346	0.76346	0.90405	0.76346	0.80152	0.90405	0.76346	0.69544
ABCB1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.268675	0.09059	0.09435	0.088555
ABCB10	0.470165	0.470165	0.45004	0.45004	0.470165	0.45004	0.50488	0.470165	0.45004	0.47968
ABCB11	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.2283	0.09059	0.09435	0.25446
ABCB4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCB5	0.2604575	0.2604575	0.09435	0.09435	0.2604575	0.09435	0.08815	0.2604575	0.09435	0.088555
ABCB6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCB7	0.61235	0.61235	0.559305	0.559305	0.61235	0.559305	0.58569	0.61235	0.559305	0.582455
ABCB8	0.252945	0.252945	0.364345	0.364345	0.252945	0.364345	0.321165	0.252945	0.364345	0.35794
ABCB9	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCC1	0.56634	0.56634	0.6158	0.6158	0.56634	0.6158	0.5100025	0.56634	0.6158	0.503475
ABCC10	0.34439	0.34439	0.382105	0.382105	0.34439	0.382105	0.34852	0.34439	0.382105	0.3851
ABCC11	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCC12	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCC2	0.240205	0.240205	0.2826225	0.2826225	0.240205	0.2826225	0.256745	0.240205	0.2826225	0.23609
ABCC3	0.35751	0.35751	0.40993	0.40993	0.35751	0.40993	0.24011	0.35751	0.40993	0.66682
ABCC4	0.28407	0.28407	0.09435	0.09435	0.28407	0.09435	0.23267	0.28407	0.09435	0.22567
ABCC5	0.25865	0.25865	0.479435	0.479435	0.25865	0.479435	0.54675	0.25865	0.479435	0.56838
ABCC8	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCC9	0.30358	0.30358	0.51882	0.51882	0.30358	0.51882	0.60508	0.30358	0.51882	0.35668
ABCD1	0.505135	0.505135	0.5809325	0.5809325	0.505135	0.5809325	0.433595	0.505135	0.5809325	0.59458
ABCD2	0.09059	0.09059	0.42867	0.42867	0.09059	0.42867	0.08815	0.09059	0.42867	0.229925
ABCD3	0.47603	0.47603	0.4515	0.4515	0.47603	0.4515	0.44931	0.47603	0.4515	0.445285
ABCD4	0.48687	0.48687	0.485295	0.485295	0.48687	0.485295	0.53809	0.48687	0.485295	0.49182
ABCE1	0.54859	0.54859	0.5724	0.5724	0.54859	0.5724	0.5100025	0.54859	0.5724	0.4887
ABCF1	0.703615	0.703615	0.79692	0.79692	0.703615	0.79692	0.708365	0.703615	0.79692	0.72997
ABCF2	0.6326975	0.6326975	0.6923	0.6923	0.6326975	0.6923	0.58013	0.6326975	0.6923	0.56617
ABCF3	0.60199	0.60199	0.64958	0.64958	0.60199	0.64958	0.58335	0.60199	0.64958	0.580855
ABCG1	0.512945	0.512945	0.458155	0.458155	0.512945	0.458155	0.46592	0.512945	0.458155	0.34642
ABCG2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.27823	0.09059	0.09435	0.23276
ABCG4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCG5	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABCG8	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABHD1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABHD10	0.41876	0.41876	0.5167	0.5167	0.41876	0.5167	0.56559	0.41876	0.5167	0.49866
ABHD11	0.524885	0.524885	0.509215	0.509215	0.524885	0.509215	0.4911	0.524885	0.509215	0.501855
ABHD12	0.775735	0.775735	0.7418	0.7418	0.775735	0.7418	0.637525	0.775735	0.7418	0.804265
ABHD13	0.34216	0.34216	0.3505475	0.3505475	0.34216	0.3505475	0.379035	0.34216	0.3505475	0.3698825
ABHD14B	0.759875	0.759875	0.81873	0.81873	0.759875	0.81873	0.8026	0.759875	0.81873	0.7627
ABHD15	0.41546	0.41546	0.60528	0.60528	0.41546	0.60528	0.35465	0.41546	0.60528	0.517765
ABHD16A	0.512945	0.512945	0.6187825	0.6187825	0.512945	0.6187825	0.59051	0.512945	0.6187825	0.62593
ABHD16B	0.31084	0.31084	0.363075	0.363075	0.31084	0.363075	0.26728	0.31084	0.363075	0.45049
ABHD17A	0.68138	0.68138	0.70779	0.70779	0.68138	0.70779	0.62226	0.68138	0.70779	0.7121
ABHD17B	0.54367	0.54367	0.39658	0.39658	0.54367	0.39658	0.4276025	0.54367	0.39658	0.394985
ABHD17C	0.331495	0.331495	0.2483	0.2483	0.331495	0.2483	0.08815	0.331495	0.2483	0.268455
ABHD2	0.68595	0.68595	0.535075	0.535075	0.68595	0.535075	0.5981375	0.68595	0.535075	0.6699
ABHD3	0.29201	0.29201	0.406635	0.406635	0.29201	0.406635	0.30251	0.29201	0.406635	0.389585
ABHD4	0.8113925	0.8113925	0.743945	0.743945	0.8113925	0.743945	0.7917	0.8113925	0.743945	0.78181
ABHD5	0.598525	0.598525	0.60528	0.60528	0.598525	0.60528	0.320085	0.598525	0.60528	0.44704
ABHD6	0.3431875	0.3431875	0.47525	0.47525	0.3431875	0.47525	0.4137375	0.3431875	0.47525	0.41084
ABHD8	0.45999	0.45999	0.457135	0.457135	0.45999	0.457135	0.4054225	0.45999	0.457135	0.503475
ABI1	0.762855	0.762855	0.71906	0.71906	0.762855	0.71906	0.776525	0.762855	0.71906	0.8001
ABI2	0.28407	0.28407	0.256035	0.256035	0.28407	0.256035	0.314435	0.28407	0.256035	0.28702
ABI3	0.3239	0.3239	0.4446725	0.4446725	0.3239	0.4446725	0.462245	0.3239	0.4446725	0.627685
ABI3BP	0.7269	0.7269	0.62375	0.62375	0.7269	0.62375	0.73226	0.7269	0.62375	0.76079
ABL1	0.912445	0.912445	0.851385	0.851385	0.912445	0.851385	0.83379	0.912445	0.851385	0.831735
ABL2	0.46382	0.46382	0.47525	0.47525	0.46382	0.47525	0.388595	0.46382	0.47525	0.43921
ABLIM1	0.83271	0.83271	0.84334	0.84334	0.83271	0.84334	0.86859	0.83271	0.84334	0.71508
ABLIM2	0.29943	0.29943	0.4515	0.4515	0.29943	0.4515	0.26942	0.29943	0.4515	0.2316125
ABLIM3	0.731615	0.731615	0.79958	0.79958	0.731615	0.79958	0.7445625	0.731615	0.79958	0.639165
ABO	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABR	0.70824	0.70824	0.68625	0.68625	0.70824	0.68625	0.6748	0.70824	0.68625	0.713535
ABRA	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ABRACL	0.448335	0.448335	0.64402	0.64402	0.448335	0.64402	0.48888	0.448335	0.64402	0.76449
ABT1	0.606685	0.606685	0.63317	0.63317	0.606685	0.63317	0.61162	0.606685	0.63317	0.556235
ABTB1	0.695515	0.695515	0.69324	0.69324	0.695515	0.69324	0.776525	0.695515	0.69324	0.68679
ABTB2	0.28997	0.28997	0.25348	0.25348	0.28997	0.25348	0.27823	0.28997	0.25348	0.088555
AC000111.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC002059.10	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.240255
AC002064.5	0.26272	0.26272	0.09435	0.09435	0.26272	0.09435	0.08815	0.26272	0.09435	0.088555
AC003973.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005162.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005224.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005256.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005306.3	0.352645	0.352645	0.28638	0.28638	0.352645	0.28638	0.32229	0.352645	0.28638	0.298005
AC005498.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005523.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005537.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005592.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005606.14	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC005785.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC006026.13	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC006129.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC006538.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007292.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007349.5	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007362.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007365.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007389.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007401.2	0.272385	0.272385	0.09435	0.09435	0.272385	0.09435	0.08815	0.272385	0.09435	0.088555
AC007680.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC007787.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC008088.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC008746.12	0.23346	0.23346	0.24044	0.24044	0.23346	0.24044	0.280885	0.23346	0.24044	0.25736
AC008753.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC009120.6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC009133.15	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC009502.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC010145.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC010524.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC012065.7	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC012360.6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC012499.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC012531.25	0.363535	0.363535	0.256035	0.256035	0.363535	0.256035	0.27823	0.363535	0.256035	0.22567
AC013463.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC013733.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC016831.7	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC016999.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC017002.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC017104.6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC018755.17	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC018766.6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC018816.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC024560.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC025442.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC064852.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC067956.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC068039.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC068138.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC068831.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC073283.7	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC073321.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC074212.6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC079305.10	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC079767.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.27128
AC079807.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC083843.1	0.25762	0.25762	0.31349	0.31349	0.25762	0.31349	0.231975	0.25762	0.31349	0.088555
AC083949.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC084219.3	0.27149	0.27149	0.09435	0.09435	0.27149	0.09435	0.22661	0.27149	0.09435	0.240925
AC087501.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC090627.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC091133.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC091633.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC092192.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC092620.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC092660.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC092667.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC100830.4	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.28007	0.09059	0.09435	0.28301
AC104667.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC106801.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC108056.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC114730.11	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.23696
AC114752.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC124997.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC139100.3	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AC141928.1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.2283	0.09059	0.09435	0.088555
AC144652.1	0.27492	0.27492	0.267965	0.267965	0.27492	0.267965	0.08815	0.27492	0.267965	0.27559
AC145343.2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACAA1	0.49398	0.49398	0.559305	0.559305	0.49398	0.559305	0.45518	0.49398	0.559305	0.587015
ACAA2	0.78852	0.78852	0.8711	0.8711	0.78852	0.8711	0.68138	0.78852	0.8711	0.87425
ACACA	0.287865	0.287865	0.49073	0.49073	0.287865	0.49073	0.29148	0.287865	0.49073	0.2909
ACACB	0.75481	0.75481	0.91834	0.91834	0.75481	0.91834	0.58181	0.75481	0.91834	0.7056925
ACAD10	0.408825	0.408825	0.353005	0.353005	0.408825	0.353005	0.347235	0.408825	0.353005	0.35907
ACAD8	0.458315	0.458315	0.43157	0.43157	0.458315	0.43157	0.388595	0.458315	0.43157	0.4089975
ACAD9	0.514425	0.514425	0.60094	0.60094	0.514425	0.60094	0.57266	0.514425	0.60094	0.55861
ACADL	0.2483	0.2483	0.32742	0.32742	0.2483	0.32742	0.285135	0.2483	0.32742	0.22567
ACADM	0.492555	0.492555	0.5724	0.5724	0.492555	0.5724	0.5981375	0.492555	0.5724	0.5343
ACADS	0.7668425	0.7668425	0.83262	0.83262	0.7668425	0.83262	0.6295	0.7668425	0.83262	0.75358
ACADSB	0.48687	0.48687	0.4515	0.4515	0.48687	0.4515	0.471395	0.48687	0.4515	0.402585
ACADVL	0.92281	0.92281	0.94918	0.94918	0.92281	0.94918	0.89595	0.92281	0.94918	0.95526
ACAN	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.23357	0.09059	0.09435	0.314815
ACAP1	0.2909	0.2909	0.27153	0.27153	0.2909	0.27153	0.08815	0.2909	0.27153	0.36134
ACAP2	0.54111	0.54111	0.485295	0.485295	0.54111	0.485295	0.54115	0.54111	0.485295	0.547705
ACAP3	0.470165	0.470165	0.544045	0.544045	0.470165	0.544045	0.58569	0.470165	0.544045	0.62171
ACAT1	0.6160575	0.6160575	0.7096375	0.7096375	0.6160575	0.7096375	0.6902	0.6160575	0.7096375	0.588775
ACAT2	0.34627	0.34627	0.358625	0.358625	0.34627	0.358625	0.34608	0.34627	0.358625	0.45837
ACBD3	0.775735	0.775735	0.69793	0.69793	0.775735	0.69793	0.74142	0.775735	0.69793	0.713535
ACBD4	0.4352725	0.4352725	0.43921	0.43921	0.4352725	0.43921	0.50488	0.4352725	0.43921	0.41948
ACBD5	0.512945	0.512945	0.5522925	0.5522925	0.512945	0.5522925	0.54675	0.512945	0.5522925	0.53261
ACBD6	0.70021	0.70021	0.6203875	0.6203875	0.70021	0.6203875	0.68466	0.70021	0.6203875	0.66232
ACCS	0.352645	0.352645	0.502685	0.502685	0.352645	0.502685	0.61162	0.352645	0.502685	0.57173
ACD	0.62152	0.62152	0.487025	0.487025	0.62152	0.487025	0.57653	0.62152	0.487025	0.4887
ACE	0.347605	0.347605	0.38744	0.38744	0.347605	0.38744	0.567315	0.347605	0.38744	0.6121425
ACE2	0.09059	0.09059	0.24044	0.24044	0.09059	0.24044	0.08815	0.09059	0.24044	0.088555
ACER1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACER3	0.3820575	0.3820575	0.42728	0.42728	0.3820575	0.42728	0.35465	0.3820575	0.42728	0.4533025
ACHE	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACIN1	0.728585	0.728585	0.7677	0.7677	0.728585	0.7677	0.770855	0.728585	0.7677	0.766
ACKR2	0.505135	0.505135	0.42107	0.42107	0.505135	0.42107	0.256035	0.505135	0.42107	0.088555
ACKR3	0.93762	0.93762	0.90887	0.90887	0.93762	0.90887	0.96425	0.93762	0.90887	0.94218
ACKR4	0.63631	0.63631	0.09435	0.09435	0.63631	0.09435	0.412195	0.63631	0.09435	0.52466
ACLY	0.73027	0.73027	0.8175	0.8175	0.73027	0.8175	0.79331	0.73027	0.8175	0.789185
ACMSD	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACN9	0.3239	0.3239	0.42254	0.42254	0.3239	0.42254	0.399205	0.3239	0.42254	0.3427
ACO1	0.695515	0.695515	0.8420875	0.8420875	0.695515	0.8420875	0.54115	0.695515	0.8420875	0.72554
ACO2	0.54534	0.54534	0.745315	0.745315	0.54534	0.745315	0.618735	0.54534	0.745315	0.658555
ACOT11	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACOT12	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACOT13	0.2515825	0.2515825	0.3603	0.3603	0.2515825	0.3603	0.34252	0.2515825	0.3603	0.389585
ACOT4	0.09059	0.09059	0.30309	0.30309	0.09059	0.30309	0.08815	0.09059	0.30309	0.304965
ACOT6	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
ACOT7	0.27059	0.27059	0.3342975	0.3342975	0.27059	0.3342975	0.31149	0.27059	0.3342975	0.3603
ACOT8	0.33345	0.33345	0.3603	0.3603	0.33345	0.3603	0.3288225	0.33345	0.3603	0.325185
ACOT9	0.58747	0.58747	0.584475	0.584475	0.58747	0.584475	0.67292	0.58747	0.584475	0.6121425
ACOX1	0.64968	0.64968	0.62998	0.62998	0.64968	0.62998	0.46761	0.64968	0.62998	0.57173
ACOX2	0.42305	0.42305	0.39441	0.39441	0.42305	0.39441	0.542785	0.42305	0.39441	0.394985
