Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
PRKCQ	Y	0.740665	0.86911	0.858759	0.0794121677074742	0.94662	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.77852	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.29642020834648
ZAP70	Y	0.9231	0.96698	0.957174	0.0201978583023052	0.97249	0	0%	NONE	0.08815	0.19021375	0.19466225	0.108122626977492	0.3367625	0	NA	 	0.77676625	0.00112272815294471	0	0.297872340425532	17.5%	6	5	3	NA	2.29124712744889
LTB	Y	0.57594	0.86621	0.811402	0.184436515283715	0.98565	0	0%	NONE	0.08815	0.09247	0.106586	0.0462105729123638	0.23795	0	NA	 	0.77374	0.00112272815294471	0	0.170212765957447	17.5%	6	2	0	NA	2.28232052099625
C16orf54	Y	0.784225	0.85174	0.8665865	0.0724724392786665	0.96799	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.76115	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.24518347837296
NDST3	Y	0.806095	0.851385	0.860316	0.0570788186852181	0.94255	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.760795	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	2.24413632586055
CD1A	Y	0.535075	0.84569	0.768014	0.216019628315345	0.96639	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.7551	0.00112272815294471	0	0.0638297872340425	17.5%	1	1	1	NA	2.22733763978115
CD96	Y	0.714375	0.84536	0.837842	0.0800316183298826	0.93876	0	0%	NONE	0.08815	0.09247	0.1078415	0.0501765424415522	0.250505	0	NA	 	0.75289	0.00112272815294471	0	0.127659574468085	17.5%	6	0	0	NA	2.22081874667572
GRAP2	Y	0.62712	0.83543	0.800221	0.0985439206902181	0.868845	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.74484	0.00112272815294471	0	0.212765957446809	17.5%	4	4	2	NA	2.19707345730975
CD6	Y	0.7430025	0.83245	0.8192685	0.0629317196352523	0.90166	0	0%	NONE	0.08815	0.09247	0.107273	0.0483806343373967	0.24482	0	NA	 	0.73998	0.00112272815294471	0	0.276595744680851	17.5%	5	4	4	NA	2.18273779192856
CD7	Y	0.62547	0.94947	0.885544	0.146739246215864	0.97412	0	0%	NONE	0.08815	0.21487875	0.2175865	0.131597304990768	0.368685	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.73459125	0.00112272815294471	0	0.191489361702128	17.5%	5	3	1	NA	2.16684245924896
IGLL1	Y	0.12279	0.82496	0.605829	0.438556467436065	0.99102	2	40%	Sample3,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.73437	0.00112272815294471	0	0.0212765957446809	17.5%	1	0	0	NA	2.16618983250707
CD8A	Y	0.41297	0.824515	0.740952	0.1919081538979	0.87049	0	0%	NONE	0.08815	0.09247	0.1131835	0.0670569109890165	0.303925	0	NA	 	0.732045	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	2.15933172098211
TIMM23B	Y	0.76849	0.81607	0.821201	0.0403161593532916	0.88121	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.72548	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.13996677381596
CD3E	Y	0.93859	0.96476	0.957344	0.0140829659518157	0.97188	0	0%	NONE	0.09059	0.2486575	0.204275	0.106947038164795	0.39619	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.7161025	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.11230572399865
SMIM3	Y	0.78729	0.80422	0.825466	0.0417618609499146	0.88086	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.71363	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.10501252797911
CD3D	Y	0.98621	0.99002	0.991194	0.00450918839703994	0.99624	0	0%	NONE	0.08815	0.27647	0.26973075	0.0742632117318939	0.3973975	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.71355	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.10477654994814
AJAP1	Y	0.540895	0.795825	0.729084	0.142173616372729	0.87036	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.705235	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.08024958335461
S1PR4	Y	0.759605	0.79309	0.805781	0.0356191123906815	0.84415	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.7025	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.07218208442095
MYO1G	Y	0.842025	0.90382	0.907444	0.0457859191509791	0.96199	0	0%	NONE	0.08815	0.20505	0.208308	0.125038868428092	0.35453	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.69877	0.00112272815294471	0	0.319148936170213	17.5%	6	6	3	NA	2.06117960872716
VAV1	Y	0.7957675	0.86849	0.8670745	0.0532105154786157	0.93225	0	0%	NONE	0.08815	0.172035	0.175801	0.0911252842641505	0.29358	0	NA	 	0.696455	0.00112272815294471	0	0.297872340425532	17.5%	7	4	3	NA	2.05435099445608
TBC1D10C	Y	0.736635	0.85988	0.826062	0.0684647922840638	0.891585	0	0%	NONE	0.08815	0.19216	0.210885	0.136901659859266	0.48342	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.66772	0.00112272815294471	0	0.234042553191489	17.5%	4	4	3	NA	1.96959063545845
CARD11	Y	0.74401	0.75798	0.796736	0.0615294452274681	0.87316	0	0%	NONE	0.08815	0.09247	0.1077705	0.0499522441076363	0.249795	0	NA	 	0.66551	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.96307174235301
SELL	Y	0.71067	0.92543	0.896834	0.10821886817926	0.98582	0	0%	NONE	0.09059	0.2632875	0.199139	0.0942318305740334	0.304965	0	NA	 	0.6621425	0.00112272815294471	0	0.319148936170213	17.5%	5	5	5	NA	1.95313854211203
CD2	Y	0.53674	0.944875	0.853459	0.18184800481446	0.96406	0	0%	NONE	0.09435	0.28678	0.231991	0.123035921263309	0.3851	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.658095	0.00112272815294471	0	0.191489361702128	17.5%	4	4	1	NA	1.94119952860784
GPR174	Y	0.547005	0.7505	0.746453	0.146712582776666	0.91423	0	0%	NONE	0.08815	0.09247	0.1064	0.0456230850435269	0.23609	0	NA	 	0.65803	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.94100779645768
P2RY8	Y	0.74871	0.83328	0.824876	0.063288353035926	0.91618	0	0%	NONE	0.08815	0.175445	0.192822	0.120350745813135	0.43651	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.657835	0.00112272815294471	0	0.148936170212766	17.5%	5	2	0	NA	1.9404326000072
CD38	Y	0.53573	0.82504	0.77587	0.177801946699129	0.9579	0	0%	NONE	0.08815	0.1705475	0.2168475	0.138034094122712	0.366865	4	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	0.6544925	0.00112272815294471	0	0.382978723404255	17.5%	7	7	4	NA	1.9305731429009
SPNS3	Y	0.66063	0.74163	0.756581	0.0700636428898755	0.83292	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.65104	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.92038921600202
LAX1	Y	0.66551	0.7309475	0.7561435	0.0841381659756736	0.87815	0	0%	NONE	0.088555	0.09247	0.1054925	0.0426110144374537	0.22661	0	NA	 	0.6384775	0.00112272815294471	0	0.170212765957447	17.5%	5	3	0	NA	1.88333329082687
CD247	Y	0.70877	0.80673	0.807177	0.0719530620960637	0.90635	0	0%	NONE	0.08815	0.168925	0.1751275	0.088833912169784	0.311725	0	NA	 	0.637805	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	1.88134960050406
LST1	Y	0.32937	0.76323	0.7241	0.245983711452608	0.93267	1	20%		0.08815	0.09247	0.12241	0.0962223928661561	0.39619	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.67076	0.00168955450766876	NA	NaN	100%	NA	NA	NA	NA	1.85949951419415
RAB37	Y	0.693985	0.852005	0.826781	0.0878050799640886	0.928055	0	0%	NONE	0.09435	0.2351825	0.1837345	0.0778832562575409	0.27593	0	NA	 	0.6168225	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.81945698756974
SLC4A1	Y	0.11786	0.700915	0.5978855	0.285880370076366	0.81274	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.610325	0.00112272815294471	0	0.0425531914893617	17.5%	1	1	0	NA	1.80029114686721
SLC7A3	Y	0.11786	0.69496	0.558974	0.296358389357379	0.87071	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.60437	0.00112272815294471	0	0.212765957446809	17.5%	6	4	0	NA	1.78272553218718
BTBD11	Y	0.49003	0.693985	0.647252	0.110203846042232	0.76419	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.603395	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.77984954993478
KIF2C	Y	0.50544	0.69239	0.688794	0.116343355332395	0.80447	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.6018	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.77514473794239
CD79A	Y	0.46968	0.68943	0.702117	0.186752617371216	0.95323	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.59884	0.00112272815294471	0	0.326086956521739	19.3%	6	5	4	NA	1.76641355079664
ATRNL1	Y	0.11898	0.67994	0.570938	0.265540086747745	0.76905	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.58935	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.73842065687329
KCNA3	Y	0.66343	0.85722	0.807947	0.107487337370501	0.897495	0	0%	NONE	0.08815	0.2713625	0.2581255	0.0648161093851932	0.322205	0	NA	 	0.5858575	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	1.72811874095893
NAT14	Y	0.47737	0.67317	0.638648	0.120817822650468	0.7978	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.58258	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.71845101600279
PIK3CG	Y	0.582125	0.75789	0.743654	0.151719450524644	0.90688	0	0%	NONE	0.08815	0.17578	0.1762845	0.090874648782754	0.268455	0	NA	 	0.58211	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.71706464507086
BUB1	Y	0.500555	0.66823	0.665151	0.111549239150251	0.81392	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.57764	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.70387937259063
ITGAL	Y	0.409235	0.86781	0.770945	0.233365140605875	0.96294	0	0%	NONE	0.09435	0.26344	0.239113	0.158723619333874	0.59972	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.60437	0.00168955450766876	0	0.297872340425532	17.5%	5	5	4	NA	1.67545131104049
ZNF708	Y	0.580695	0.65801	0.683406	0.103703396605415	0.7936	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.56742	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.67373317913471
CD48	Y	0.552935	0.80665	0.760943	0.141768417304419	0.90219	0	0%	NONE	0.09059	0.2500525	0.21276525	0.12275599574885	0.4655825	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.5565975	0.00112272815294471	0	0.170212765957447	17.5%	5	3	0	NA	1.64180977613308
RASAL3	Y	0.56343	0.72751	0.710902	0.142294589215472	0.87535	0	0%	NONE	0.08815	0.1764425	0.1818925	0.0982363661235831	0.319235	0	NA	 	0.5510675	0.00112272815294471	0	0.191489361702128	17.5%	4	3	2	NA	1.62549779474255
GPA33	Y	0.374415	0.64094	0.625111	0.200707869065964	0.82763	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.55035	0.00112272815294471	0	0.319148936170213	17.5%	5	5	5	NA	1.62338136677732
GXYLT2	Y	0.807765	0.84725	0.861596	0.0589185142166705	0.949805	0	0%	NONE	0.09435	0.2984875	0.2898825	0.182492342270847	0.4811125	4	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	0.5487625	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.61869867772534
NDC80	Y	0.57334	0.63773	0.677541	0.105949008041605	0.84067	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54714	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.61391274828481
ALAS2	Y	0.11786	0.63506	0.548238	0.259401849299499	0.78275	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54447	0.00112272815294471	0	0.0425531914893617	17.5%	1	1	0	NA	1.60603698150132
CCR9	Y	0.37204	0.63294	0.635721	0.219828364536972	0.93738	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.54235	0.00112272815294471	0	0.0851063829787234	17.5%	4	0	0	NA	1.59978356368072
SV2A	Y	0.52145	0.63382	0.622708	0.0667735795992696	0.696175	0	0%	NONE	0.088555	0.09247	0.1063335	0.0452672785949066	0.23502	0	NA	 	0.54135	0.00112272815294471	0	0.191489361702128	17.5%	4	3	2	NA	1.59683383829364
RGS9	Y	0.11846	0.62547	0.53759	0.390750330901971	0.90432	2	40%	Sample2,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.53488	0.00112272815294471	0	0.0625	15.8%	1	1	1	NA	1.57774911503926
ZNF138	Y	0.60265	0.696105	0.722593	0.102081815447219	0.86873	0	0%	NONE	0.088555	0.16270375	0.1623755	0.0729511755655033	0.23357	0	NA	 	0.53340125	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.57338720862312
TMEM160	Y	0.506645	0.70932	0.697148	0.137300028432262	0.838585	0	0%	NONE	0.08815	0.1785625	0.1926025	0.108570740463176	0.302245	0	NA	 	0.5307575	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.56558887213104
GTSE1	Y	0.44157	0.6205	0.614725	0.107078584460199	0.71601	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.52991	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.56308897986549
NTNG2	Y	0.12279	0.60619	0.49078	0.338200907154313	0.81061	2	40%	Sample3,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.5156	0.00112272815294471	0	0.106382978723404	17.5%	4	1	0	NA	1.52087840957643
PRR11	Y	0.512695	0.607135	0.5835905	0.065960239453401	0.6625125	0	0%	NONE	0.08815	0.09247	0.1086655	0.0527798057157175	0.258745	0	NA	 	0.514665	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.51812041633951
PRR7	Y	0.485185	0.594825	0.580632	0.0880676290983242	0.6936	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.504235	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.48735478055231
SLC23A1	Y	0.4604	0.58149	0.559109	0.0893584920523786	0.6597825	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.4909	0.00112272815294471	0	0.244444444444444	21.1%	4	4	3	NA	1.44802019251565
KCNK17	Y	0.39823	0.58101	0.635808	0.211428594346886	0.884965	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.49042	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.44660432432986
PRTN3	Y	0.11786	0.58001	0.4761845	0.219897022322382	0.64757	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.48942	0.00112272815294471	0	0.133333333333333	21.1%	2	2	2	NA	1.44365459894278
FXYD2	Y	0.1376	0.577635	0.514101	0.218422113074661	0.67257	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.487045	0.00112272815294471	0	0.340425531914894	17.5%	7	6	3	NA	1.43664900114847
PKMYT1	Y	0.48693	0.57695	0.576896	0.0607757080789685	0.658065	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.48636	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.43462843925833
MICB	Y	0.62892	0.76763	0.736678	0.0846333832332136	0.83775	0	0%	NONE	0.270045	0.28138625	0.2995415	0.02770406092876	0.331495	0	NA	 	0.48624375	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.43428553368208
MAP4K1	Y	0.68841	0.752995	0.73692	0.039816627023142	0.7772	0	0%	NONE	0.250845	0.27602	0.2894125	0.0528218644360458	0.43512	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.476975	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	1.40694526650062
NUF2	Y	0.449525	0.54383	0.540705	0.0935477114231022	0.688865	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.45324	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.33693353443837
HHIP	Y	0.3992475	0.540155	0.5358205	0.132143678745901	0.74629	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.449565	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.32609329364086
CD27	Y	0.31485	0.538565	0.594949	0.233971065315778	0.87864	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.447975	0.00112272815294471	0	0.191489361702128	17.5%	5	4	0	NA	1.32140323027541
TSHR	Y	0.460845	0.53674	0.564479	0.119964435063064	0.76419	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.44615	0.00112272815294471	0	0.0638297872340425	17.5%	1	1	1	NA	1.316019981444
PTGDR2	Y	0.11898	0.5328	0.424702	0.28113537543326	0.74153	2	40%	Sample1,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.44221	0.00112272815294471	0	0.170212765957447	17.5%	6	1	1	NA	1.30439806341892
GPC2	Y	0.434215	0.53045	0.514847	0.0638188824526096	0.577635	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.43986	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.29746620875929
LRRC38	Y	0.1376	0.52007	0.474835	0.199367516536672	0.66739	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.42948	0.00112272815294471	0	0.106382978723404	17.5%	2	2	1	NA	1.26684805924144
SLC4A8	Y	0.36606	0.5191	0.5036415	0.140514418116968	0.7138975	0	0%	NONE	0.08815	0.09247	0.1151215	0.0731822916516618	0.323305	0	NA	 	0.42663	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.25844134188827
MTHFD2L	Y	0.45239	0.510905	0.505195	0.0369590388132592	0.54848	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.420315	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.23981382606889
CHRNA5	Y	0.310715	0.51057	0.48864	0.133790459814966	0.66232	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.41998	0.00112272815294471	0	0.191489361702128	17.5%	3	3	3	NA	1.23882566806422
IQGAP3	Y	0.45032	0.50803	0.506001	0.0371807467649589	0.54661	0	0%	NONE	0.08815	0.09247	0.110734	0.0593157672873654	0.27943	0	NA	 	0.41556	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.22578788185334
ITPRIPL1	Y	0.319585	0.50615	0.473658	0.107120532497276	0.59278	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.41556	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.22578788185334
SKAP1	Y	0.11786	0.500705	0.445989	0.318075586543513	0.80207	2	40%	Sample2,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.410115	0.00112272815294471	0	0.212765957446809	17.5%	4	3	3	NA	1.20972662712071
PHF7	Y	0.536225	0.5645275	0.5661335	0.0261150382682086	0.607705	0	0%	NONE	0.08815	0.163555	0.181227	0.093896985639701	0.27849	0	NA	 	0.4009725	0.00112272815294471	0	0	17.5%	0	0	0	NA	1.18275876276937
ST6GALNAC4	Y	0.562245	0.68198	0.675078	0.0717400899602168	0.74767	0	0%	NONE	0.23502	0.28319	0.286251	0.0227241215207297	0.30701	0	NA	 	0.39879	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.17632098711207
RASGRP1	Y	0.66172	0.671765	0.73924	0.121980432190987	0.94995	0	0%	NONE	0.09435	0.2879725	0.2427975	0.139052408210598	0.471595	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.3837925	0.00111216563121216	NA	NaN	100%	NA	NA	NA	NA	1.13365800363586
S100A12	Y	0.322795	0.57915	0.6085605	0.198468492008177	0.8508	1	20%		0.08815	0.09059	0.1985745	0.140372931081024	0.36167	4	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	0.48856	0.00528200871225246	0	0.212765957446809	17.5%	4	4	2	NA	1.11254926525225
SLC25A19	Y	0.375805	0.55524	0.515034	0.0909201265809722	0.599	0	0%	NONE	0.08815	0.18106	0.190269	0.109284429352442	0.36606	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.37418	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.10372824533613
MSH3	Y	0.60094	0.6367	0.659281	0.0586266861591204	0.736355	0	0%	NONE	0.2351825	0.2683125	0.2708735	0.0347251945478912	0.307845	0	NA	 	0.3683875	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	1.08664196103149
