Sample1	Sample2	Sample3	Sample4	Sample5
ADCK3	0.566695	0.58289	0.55593	0.51135	0.49684
ADCK4	0.45207	0.43037	0.56316	0.50507	0.3934
ADCK5	0.453555	0.378055	0.39558	0.1376	0.31795
ADCY1	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY10	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY2	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY3	0.32144	0.69858	0.40524	0.56958	0.59331
ADCY4	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY5	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY6	0.11898	0.11846	0.12279	0.1376	0.3529
ADCY7	0.624555	0.57019	0.69409	0.501255	0.58149
ADCY8	0.11898	0.11846	0.12279	0.1376	0.11786
ADCY9	0.11898	0.11846	0.12279	0.1376	0.11786
ADCYAP1	0.11898	0.11846	0.12279	0.1376	0.72599
ADCYAP1R1	0.11898	0.11846	0.12279	0.1376	0.11786
ADD1	0.81161	0.7706	0.86805	0.85869	0.78609
ADD2	0.11898	0.11846	0.12279	0.1376	0.11786
ADD3	0.79185	0.84362	0.59618	0.40524	0.90474
ADGB	0.11898	0.11846	0.12279	0.1376	0.11786
ADH1A	0.11898	0.11846	0.12279	0.1376	0.11786
ADH1B	0.11898	0.11846	0.12279	0.1376	0.11786
ADH4	0.11898	0.11846	0.12279	0.1376	0.11786
ADH5	0.856815	0.87049	0.86786	0.69858	0.64821
ADH6	0.11898	0.11846	0.12279	0.1376	0.11786
ADH7	0.11898	0.11846	0.12279	0.1376	0.11786
ADHFE1	0.11898	0.11846	0.12279	0.1376	0.11786
ADI1	0.53128	0.54959	0.61452	0.55077	0.43634
ADIG	0.11898	0.11846	0.12279	0.1376	0.11786
ADIPOQ	0.11898	0.11846	0.12279	0.1376	0.11786
ADIPOR1	0.86832	0.87798	0.84582	0.94387	0.81519
ADIPOR2	0.54661	0.661765	0.5979	0.76243	0.678925
ADIRF	0.11898	0.11846	0.12279	0.1376	0.11786
ADIRF-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
ADK	0.57019	0.6905	0.58965	0.58169	0.64483
ADM	0.11898	0.34323	0.12279	0.1376	0.11786
ADM2	0.11898	0.11846	0.12279	0.1376	0.11786
ADM5	0.11898	0.42867	0.32467	0.58121	0.4839
ADNP	0.8468	0.89003	0.77038	0.858805	0.93296
ADNP2	0.772075	0.789835	0.57834	0.78385	0.72723
ADO	0.59561	0.554155	0.55451	0.55566	0.4636
ADORA1	0.11898	0.11846	0.12279	0.1376	0.11786
ADORA2A-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
ADORA2B	0.11898	0.33014	0.12279	0.1376	0.11786
ADORA3	0.11898	0.11846	0.12279	0.1376	0.11786
ADPGK	0.81971	0.8252	0.765515	0.77929	0.72315
ADPRH	0.11898	0.11846	0.12279	0.1376	0.11786
ADPRHL1	0.11898	0.11846	0.315225	0.1376	0.11786
ADPRHL2	0.77146	0.65954	0.77829	0.80165	0.613335
ADPRM	0.76449	0.528075	0.56358	0.57904	0.59458
ADRA1A	0.11898	0.11846	0.12279	0.1376	0.11786
ADRA1B	0.11898	0.11846	0.12279	0.1376	0.11786
ADRA1D	0.11898	0.11846	0.12279	0.1376	0.11786
ADRA2A	0.11898	0.11846	0.12279	0.1376	0.11786
ADRA2B	0.11898	0.11846	0.12279	0.4447475	0.310715
ADRA2C	0.11898	0.11846	0.12279	0.1376	0.11786
ADRB1	0.11898	0.11846	0.12279	0.1376	0.11786
ADRB2	0.11898	0.11846	0.12279	0.3874	0.11786
ADRB3	0.11898	0.11846	0.12279	0.1376	0.11786
ADRBK1	0.95313	0.91872	0.91284	0.881725	0.91284
ADRBK2	0.637825	0.63725	0.67933	0.71323	0.75215
ADRM1	0.86673	0.85961	0.90237	0.90652	0.71726
ADSL	0.6656	0.71997	0.80353	0.72452	0.71141
ADSS	0.667495	0.79593	0.68497	0.62942	0.82644
ADSSL1	0.11898	0.11846	0.12279	0.1376	0.11786
ADTRP	0.11898	0.57594	0.12279	0.1376	0.11786
AEBP1	0.803355	0.94304	0.88306	0.800045	0.95959
AEBP2	0.51222	0.80901	0.639165	0.77591	0.84569
AEN	0.47455	0.759735	0.62851	0.48436	0.45657
AES	0.95594	0.94671	0.95674	0.95177	0.906
AF001548.5	0.38468	0.68088	0.3845	0.64757	0.52862
AF067845.1	0.11898	0.11846	0.12279	0.1376	0.11786
AF131215.4	0.11898	0.11846	0.12279	0.1376	0.11786
AF131215.8	0.11898	0.11846	0.12279	0.1376	0.11786
AF186192.1	0.11898	0.11846	0.12279	0.1376	0.11786
AF213884.2	0.11898	0.11846	0.3509925	0.1376	0.11786
AFAP1	0.11898	0.11846	0.12279	0.1376	0.11786
AFAP1-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
AFAP1L1	0.11898	0.11846	0.12279	0.1376	0.11786
AFAP1L2	0.11898	0.11846	0.12279	0.1376	0.11786
AFF1	0.91745	0.91892	0.71264	0.702465	0.93474
AFF2	0.3367625	0.4266775	0.4536	0.40498	0.54609
